index,tiras,negatividade,neutralidade,positividade,sentimento_dominante,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,p_toxicity,Creator Name,Game Environment,Video Name,toxicidade,class_detoxify,class_perspective,classificacao_ia,texto_exibicao
0,"Aqui nesse mundo, meu objetivo é sobreviver a um apocalipse de monstros. O dia não amanhece e todos os monstros que nascerem a uma distância de até 100 blocos vão começar a vir na minha direção pra me matar. Eu construí uma base bem espaçosa, aqui eu fiz uma plantação de trigo e batata, aqui eu também plantei algumas árvores pra não ficar saindo da base pra coletar recursos. Até porque é muito perigoso, tem muitos monstros aqui do lado de fora. Tem um buraco que eu fiz aqui pra ficar espionando e já dá pra ver que tem alguns zumbis, esqueletos e mesmo esses monstros estando do lado de fora, se eu fico muito perto do buraco, eu acabo sendo atacado. Isso é um problema, eu tenho que ficar esperto porque se aparecer um Creeper por aqui, aí vai dar ruim, pode ter certeza disso. Se um Creeper explodir a entrada da minha base, eu vou ficar totalmente desprotegido.",0.4582649171352386,0.4474250972270965,0.0943099558353424,NEG,0.2855454385280609,0.0010079550556838,0.0030555399134755,0.0023835566826164,0.0083577623590826,0.254218578338623,0.0008209887892007,0.2648175,Robin Hood Gamer,Minecraft,EXÉRCITO DE GOLEM DE NEVE VS APOCALIPSE DE MONSTROS NO MINECRAFT [Z6tiSl3OoQA],,GZ,GZ,GZ,"🎬 Canal: Robin Hood Gamer | 🎥 Vídeo: EXÉRCITO DE GOLEM DE NEVE VS APOCALIPSE DE MONSTROS NO MINECRAFT [Z6tiSl3OoQA]
⏱️ Segmento/Index: 0
──────────────────────────────────────────────────
Fala transcrita:
""Aqui nesse mundo, meu objetivo é sobreviver a um apocalipse de monstros. O dia não amanhece e todos os monstros que nascerem a uma distância de até 100 blocos vão começar a vir na minha direção pra me matar. Eu construí uma base bem espaçosa, aqui eu fiz uma plantação de trigo e batata, aqui eu também plantei algumas árvores pra não ficar saindo da base pra coletar recursos. Até porque é muito perigoso, tem muitos monstros aqui do lado de fora. Tem um buraco que eu fiz aqui pra ficar espionando e já dá pra ver que tem alguns zumbis, esqueletos e mesmo esses monstros estando do lado de fora, se eu fico muito perto do buraco, eu acabo sendo atacado. Isso é um problema, eu tenho que ficar esperto porque se aparecer um Creeper por aqui, aí vai dar ruim, pode ter certeza disso. Se um Creeper explodir a entrada da minha base, eu vou ficar totalmente desprotegido."""
5,"Eu vou deixar ele um pouco mais tendre Não, para, para de colocar, para de ter inveja, você tá com inveja porque eu venci Você já venceu, agora eu vou tacar fogo no seu navio Ah não importa também, tá 1 a 0 O próximo tema Atos que a gente vai construir vai ser brinquedo Ah Cadres, vamos reiniciar o servidor Ué, por que Atos? Tá muito bugado, fica trocando blocos, eu não aguento mais, não tá dando pra construir assim Ah, para de desculpa, tá valendo Tá lagado, olha só, até você andando tá todo travado Ah, para de desculpa, só porque você é ruim Atos, valendo, valendo Agora eu vou pegar e usar uma construção pronta de um brinquedo E eu vou colar ele bem aqui, então deixa eu vir e dar um barra paste Ai não, onde será que ele vai aparecer? Ah, apareceu aqui E essa construção pronta é dos personagens de Bob Esponja Nossa, que legal, que bonito Tem o Bob Esponja, tem o Lula Molusco, o Patrick E tem até o Siri Cascudo Deixa eu ver se tem alguma coisa dentro dele Eu vou entrar aqui Ah, ele é até decorado por dentro Tem até a cozinha, onde o Bob Esponja?",0.7470277547836304,0.2032250314950943,0.0497472360730171,NEG,0.4433509707450866,0.0116502977907657,0.050742607563734,0.0082016289234161,0.0469778105616569,0.0131426891312003,0.0064373309724032,0.37751234,Cadres,Minecraft,Usei WANDINHA PRONTA na BATALHA DE CONSTRUÇÃO do MINECRAFT [8dVsWd6cw4M],,GZ,GZ,GZ,"🎬 Canal: Cadres | 🎥 Vídeo: Usei WANDINHA PRONTA na BATALHA DE CONSTRUÇÃO do MINECRAFT [8dVsWd6cw4M]
⏱️ Segmento/Index: 5
──────────────────────────────────────────────────
Fala transcrita:
""Eu vou deixar ele um pouco mais tendre Não, para, para de colocar, para de ter inveja, você tá com inveja porque eu venci Você já venceu, agora eu vou tacar fogo no seu navio Ah não importa também, tá 1 a 0 O próximo tema Atos que a gente vai construir vai ser brinquedo Ah Cadres, vamos reiniciar o servidor Ué, por que Atos? Tá muito bugado, fica trocando blocos, eu não aguento mais, não tá dando pra construir assim Ah, para de desculpa, tá valendo Tá lagado, olha só, até você andando tá todo travado Ah, para de desculpa, só porque você é ruim Atos, valendo, valendo Agora eu vou pegar e usar uma construção pronta de um brinquedo E eu vou colar ele bem aqui, então deixa eu vir e dar um barra paste Ai não, onde será que ele vai aparecer? Ah, apareceu aqui E essa construção pronta é dos personagens de Bob Esponja Nossa, que legal, que bonito Tem o Bob Esponja, tem o Lula Molusco, o Patrick E tem até o Siri Cascudo Deixa eu ver se tem alguma coisa dentro dele Eu vou entrar aqui Ah, ele é até decorado por dentro Tem até a cozinha, onde o Bob Esponja?"""
11,"Calma, eu posso te ajudar. Meu Deus, a dinamite! Nossa, dessa vez não fui eu que explodi tudo. É, eu confesso, dessa vez a culpa foi um pouco minha, mas tem mais participação sua. Vou chegar no topo agora, espero que eu consiga muita comida aqui no topo do Bob Esponja. Nossa, eu cheguei no nariz dele. Eu queria quebrar o nariz dele. Pera aí, não consegui nada bom aqui. Nossa, só tem coisa ruim no meu inventário. Eu tô com itens de madeira aqui, o que que é isso? Sabe, mas sabe quantos diamantes eu tenho? Eu sei que você vai ficar bravo, por isso eu vou falar. Quantos? 36 e já tenho uma espada de diamante, então pra eu poder fazer a minha armadura vai ser muito fácil. Beleza, Beto. Fica com esse Creeper aí. Eu morri? Calma aí, eu nem peguei o Creeper e eu morri. Eu joguei o Creeper em cima de você e você caiu na hora, eu acho que ele te empurrou, foi isso. Será? Eu nem consegui perceber, mas que bom. Que bom que tu fez isso, Robin, porque eu consegui pelo menos uma armadura de malha.",0.4020715951919555,0.5493142604827881,0.0486141517758369,NEU,0.2402777671813964,0.0035151892807334,0.0279194097965955,0.0016535634640604,0.0217342171818017,0.0510638765990734,0.0032409271225333,0.30993456,Robin Hood Gamer,Minecraft,SOBREVIVA AO DESAFIO DO BOB ESPONJA DE LUCKY BLOCK NO MINECRAFT [cdbYdWYGIRY],,GZ,GZ,GZ,"🎬 Canal: Robin Hood Gamer | 🎥 Vídeo: SOBREVIVA AO DESAFIO DO BOB ESPONJA DE LUCKY BLOCK NO MINECRAFT [cdbYdWYGIRY]
⏱️ Segmento/Index: 11
──────────────────────────────────────────────────
Fala transcrita:
""Calma, eu posso te ajudar. Meu Deus, a dinamite! Nossa, dessa vez não fui eu que explodi tudo. É, eu confesso, dessa vez a culpa foi um pouco minha, mas tem mais participação sua. Vou chegar no topo agora, espero que eu consiga muita comida aqui no topo do Bob Esponja. Nossa, eu cheguei no nariz dele. Eu queria quebrar o nariz dele. Pera aí, não consegui nada bom aqui. Nossa, só tem coisa ruim no meu inventário. Eu tô com itens de madeira aqui, o que que é isso? Sabe, mas sabe quantos diamantes eu tenho? Eu sei que você vai ficar bravo, por isso eu vou falar. Quantos? 36 e já tenho uma espada de diamante, então pra eu poder fazer a minha armadura vai ser muito fácil. Beleza, Beto. Fica com esse Creeper aí. Eu morri? Calma aí, eu nem peguei o Creeper e eu morri. Eu joguei o Creeper em cima de você e você caiu na hora, eu acho que ele te empurrou, foi isso. Será? Eu nem consegui perceber, mas que bom. Que bom que tu fez isso, Robin, porque eu consegui pelo menos uma armadura de malha."""
11,"Eu aviso, senão vai dar ruim pra vocês, mas aqui pessoal ele fala assim ó, que totalmente não tem um templo secreto aqui embaixo né, pra entrar aqui eu consegui, agora aqui ó, eu preciso de 25 finais, quantos finais que eu já fiz? Eu fiz muito final já viu? Mas eu não sei quantos que eu tenho não. Vou retornar mais tarde quando eu tiver esses 25 aqui. Aqui na casa da minha amiguinha, a Giandi, atrás do sofá, quando eu entrei aqui no modo invertido tinha um refrigerante né, agora o que acontece se eu pegar ele também? Olha o formato que ele fica pessoal, mas aqui no modo normal, não é o modo invertido, vou tomar um golinho. Eu acho que isso aqui eu não fiz ainda né. Entrei pro mundo dos animes eu acho, só pode. Se eu ganhei a Bad significa que esse final não tinha recuperado ainda, boa. Eu acho que eu tenho mesmo que procurar outros finais lá no mundo invertido pessoal, porque pra conseguir chegar nos 25 vai demorar bastante viu?",0.2587064802646637,0.6819137930870056,0.0593797527253627,NEU,0.0034080140758305,0.0043172943405807,0.0354147031903266,0.0055465102195739,0.033541414886713,0.0021907747723162,0.0011889146408066,0.16158698,Tex HS,Roblox,TÔ MAIS INTELIGENTE que os TangoMangles do Roblox... [1kN7dblRzkM],,NT,NT,NT,"🎬 Canal: Tex HS | 🎥 Vídeo: TÔ MAIS INTELIGENTE que os TangoMangles do Roblox... [1kN7dblRzkM]
⏱️ Segmento/Index: 11
──────────────────────────────────────────────────
Fala transcrita:
""Eu aviso, senão vai dar ruim pra vocês, mas aqui pessoal ele fala assim ó, que totalmente não tem um templo secreto aqui embaixo né, pra entrar aqui eu consegui, agora aqui ó, eu preciso de 25 finais, quantos finais que eu já fiz? Eu fiz muito final já viu? Mas eu não sei quantos que eu tenho não. Vou retornar mais tarde quando eu tiver esses 25 aqui. Aqui na casa da minha amiguinha, a Giandi, atrás do sofá, quando eu entrei aqui no modo invertido tinha um refrigerante né, agora o que acontece se eu pegar ele também? Olha o formato que ele fica pessoal, mas aqui no modo normal, não é o modo invertido, vou tomar um golinho. Eu acho que isso aqui eu não fiz ainda né. Entrei pro mundo dos animes eu acho, só pode. Se eu ganhei a Bad significa que esse final não tinha recuperado ainda, boa. Eu acho que eu tenho mesmo que procurar outros finais lá no mundo invertido pessoal, porque pra conseguir chegar nos 25 vai demorar bastante viu?"""
13,"É, mas eu descobri algo agora que vai fazer eu te vencer. O que você descobriu, Cadres? Um mob novo da nova atualização. Um mob da atualização, será que ele descobriu que eu tô usando o mod? O que você tá mutado aí, Atlus? Cadres, valendo, valendo, porque eu já sei o mob que eu vou usar. Eu não sei ainda que mob eu vou usar, vamos observar o que o Cadres vai fazer. O que será que ele descobriu? Ah, agora o Atlus vai ver, ele vai ver só. Eu tava vendo que aqui pros cantos tem um monte de mod, olha isso. E o mais sorte de todos que eu encontrei foi esse daqui. Agora eu vou estar colocando ele no chão, olha só como ele é forte. O Cadres colocou um monstro de gelo. Se ele colocou um monstro de gelo, eu tenho que colocar criaturas de fogo pra combater o gelo. Eu acho que ele descobriu que eu tô usando o mod, mas não tem problema, porque ele não sabe ainda que eu tenho essa parede aqui de vidro e eu consigo observar tudo que ele faz. O Cadres vai reclamar um pouco, mas não importa. Eu vou transformar tudo em magma e nós vamos fazer esse monstro gelado dele pegar fogo.",0.0813104808330535,0.8805601000785828,0.0381294526159763,NEU,0.2611740529537201,0.0102294664829969,0.0501863732933998,0.0075702560134232,0.0487800389528274,0.016566788777709,0.0036311272997409,0.25462922,Athos,Minecraft,TROLEI MEU AMIGO EM UMA BATALHA DE MOBS NO MINECRAFT [dTCDBlqH8a8],,GZ,GZ,GZ,"🎬 Canal: Athos | 🎥 Vídeo: TROLEI MEU AMIGO EM UMA BATALHA DE MOBS NO MINECRAFT [dTCDBlqH8a8]
⏱️ Segmento/Index: 13
──────────────────────────────────────────────────
Fala transcrita:
""É, mas eu descobri algo agora que vai fazer eu te vencer. O que você descobriu, Cadres? Um mob novo da nova atualização. Um mob da atualização, será que ele descobriu que eu tô usando o mod? O que você tá mutado aí, Atlus? Cadres, valendo, valendo, porque eu já sei o mob que eu vou usar. Eu não sei ainda que mob eu vou usar, vamos observar o que o Cadres vai fazer. O que será que ele descobriu? Ah, agora o Atlus vai ver, ele vai ver só. Eu tava vendo que aqui pros cantos tem um monte de mod, olha isso. E o mais sorte de todos que eu encontrei foi esse daqui. Agora eu vou estar colocando ele no chão, olha só como ele é forte. O Cadres colocou um monstro de gelo. Se ele colocou um monstro de gelo, eu tenho que colocar criaturas de fogo pra combater o gelo. Eu acho que ele descobriu que eu tô usando o mod, mas não tem problema, porque ele não sabe ainda que eu tenho essa parede aqui de vidro e eu consigo observar tudo que ele faz. O Cadres vai reclamar um pouco, mas não importa. Eu vou transformar tudo em magma e nós vamos fazer esse monstro gelado dele pegar fogo."""
24,"Eu não faço ideia, eu aposto que vai ser terra E badrock, é, foi quase Atus Na verdade é terra e diamante E toque sua terra Ah não, o que que eu vou fazer com terra Eu não sei Atus, eu sei que eu Vou fazer uma mega prisão com diamante Quero ver se vai ser maior que a minha Vai ver Atus, eu tenho 10 minutos, você só tem 2 Nossa, ainda bem que eu tirei diamante Agora eu vou conseguir fazer uma prisão gigantesca Até porque eu tenho 10 minutos E o Atus só tem 2 E a minha prisão já vai começar aqui no inicio Porque aqui nesses cantos vai ter diamante Mas eu não vou fazer um corredorzinho tão pequeno assim não Eu vou pegar e vim aqui muito longe E vou colocar diamante em tudo Desse jeito E esse daqui vai ser o corredor que ele vai ter que passar Pra ficar livre dessa prisão Mas não vai ser só ele correr né Até porque aqui no começo já vai ter um bloco Impedindo ele, e o único jeito dele passar Esse bloco vai ser se ele olhar aquele baú Que eu vou deixar nesse canto Porque dentro dele vai ter um alçapão E daí quando o Atus colocar o alçapão e passar por aqui Ele vai chegar no próximo nível E daí vai ter um trilho que vai levar ele pro final É ou não né Porque esse trilho vai na verdade levar ele pra cá E isso vai simplesmente jogar ele Nesse mega buraco Vou até colocar uns espelhotemas aqui pra dar mais dano Agora só deixa eu vim aqui ativar tudo E eu vou até colocar uma porta aqui pra ele pensar Que essa porta não leva lugar nenhum Mas na verdade leva pro final Nossa eu já tava quase esquecendo do carrinho",0.0841591879725456,0.7897171974182129,0.1261236518621444,NEU,0.2000749260187149,0.009243513457477,0.0489623397588729,0.0053432406857609,0.036635685712099,0.0113048339262604,0.0048856325447559,0.23523538,Cadres,Minecraft,Prisão Segura de NOOB Vs PRO no Minecraft [d-t7vowmM58],,GZ,GZ,GZ,"🎬 Canal: Cadres | 🎥 Vídeo: Prisão Segura de NOOB Vs PRO no Minecraft [d-t7vowmM58]
⏱️ Segmento/Index: 24
──────────────────────────────────────────────────
Fala transcrita:
""Eu não faço ideia, eu aposto que vai ser terra E badrock, é, foi quase Atus Na verdade é terra e diamante E toque sua terra Ah não, o que que eu vou fazer com terra Eu não sei Atus, eu sei que eu Vou fazer uma mega prisão com diamante Quero ver se vai ser maior que a minha Vai ver Atus, eu tenho 10 minutos, você só tem 2 Nossa, ainda bem que eu tirei diamante Agora eu vou conseguir fazer uma prisão gigantesca Até porque eu tenho 10 minutos E o Atus só tem 2 E a minha prisão já vai começar aqui no inicio Porque aqui nesses cantos vai ter diamante Mas eu não vou fazer um corredorzinho tão pequeno assim não Eu vou pegar e vim aqui muito longe E vou colocar diamante em tudo Desse jeito E esse daqui vai ser o corredor que ele vai ter que passar Pra ficar livre dessa prisão Mas não vai ser só ele correr né Até porque aqui no começo já vai ter um bloco Impedindo ele, e o único jeito dele passar Esse bloco vai ser se ele olhar aquele baú Que eu vou deixar nesse canto Porque dentro dele vai ter um alçapão E daí quando o Atus colocar o alçapão e passar por aqui Ele vai chegar no próximo nível E daí vai ter um trilho que vai levar ele pro final É ou não né Porque esse trilho vai na verdade levar ele pra cá E isso vai simplesmente jogar ele Nesse mega buraco Vou até colocar uns espelhotemas aqui pra dar mais dano Agora só deixa eu vim aqui ativar tudo E eu vou até colocar uma porta aqui pra ele pensar Que essa porta não leva lugar nenhum Mas na verdade leva pro final Nossa eu já tava quase esquecendo do carrinho"""
3,"Ei mano, tu não tem nenhuma arma pra me dropar não, nenhuma, nem um anzinho assim Eu já corri o mapa todinho, tomei dano do gás, da dungeon, de tudo Nadei nos mares mais profundos do universo e não achei nenhuma arma Pulei de cima da Bimazaki's Drive e não consegui nada Tem nenhuma arma aí pra me dropar não Oxe mano, porque tu não disse logo, tu achou que eu ia ficar aqui cheio de arma e não ia te dar nada Não, toma essa daqui, toma essa daqui também, duas é melhor do que uma né mano Toma essa mochila aqui, bota aqui na cabeça mesmo pra tu levar ela, leva três gelos, melhor do que um é três né pai Pra tu te defender, aí tu pôs e leva essa tonça aqui, vai aqui de longe, se acabar a bala é de pé, se ficar pra ruxar E eu vou ficar com isso aqui porque aí eu vou te curando, tá ligado?",0.2025443315505981,0.7291100025177002,0.0683456882834434,NEU,0.7839686274528503,0.0096442904323339,0.060549933463335,0.0040909070521593,0.0739247798919677,0.0292193330824375,0.011173715814948,0.3969567,meu nome é david,Roblox,FREE FIRE NA VIDA REAL - EXPECTATIVA VS REALIDADE 3 [mP0M-3P1Ae4],,GZ,GZ,GZ,"🎬 Canal: meu nome é david | 🎥 Vídeo: FREE FIRE NA VIDA REAL - EXPECTATIVA VS REALIDADE 3 [mP0M-3P1Ae4]
⏱️ Segmento/Index: 3
──────────────────────────────────────────────────
Fala transcrita:
""Ei mano, tu não tem nenhuma arma pra me dropar não, nenhuma, nem um anzinho assim Eu já corri o mapa todinho, tomei dano do gás, da dungeon, de tudo Nadei nos mares mais profundos do universo e não achei nenhuma arma Pulei de cima da Bimazaki's Drive e não consegui nada Tem nenhuma arma aí pra me dropar não Oxe mano, porque tu não disse logo, tu achou que eu ia ficar aqui cheio de arma e não ia te dar nada Não, toma essa daqui, toma essa daqui também, duas é melhor do que uma né mano Toma essa mochila aqui, bota aqui na cabeça mesmo pra tu levar ela, leva três gelos, melhor do que um é três né pai Pra tu te defender, aí tu pôs e leva essa tonça aqui, vai aqui de longe, se acabar a bala é de pé, se ficar pra ruxar E eu vou ficar com isso aqui porque aí eu vou te curando, tá ligado?"""
18,"É que eu não sei se vale a pena chegar ali, porque a gente vai coisar os negócios, mano. É uma danada, velho. Eles não vão bater na gente? Ó. Não, bater eles vão, mas não vão dar muito dano. Então, sai... Ah, matei tão de uma vez só. Que? Tá, velho. Aí a gente tem que encontrar todo o ouro deles. Tem coisinha de Netherite aí. Pega aí pra gente, Robin. Exato. Tá, pega essas flechas também. Será que tem arco largo? Calma. Robin, a gente tem que achar todo o ouro desse negócio, velho. Tá bom, certo. Vou fazer isso. Porque a gente precisa de muito ouro pra fazer uma maçã dourada pra cada um. Uou. Larga. É, velho. Ah, eu acho que o Sebastião é aquele que não tem muito ouro, velho. É, pequenininho. Eu só caí de uma altura muito gigantesca e ele me deu dois coraçãozinhos de dano. É, velho. Muito opa esse aqui, mano. As coisas largas são boas. Aqui onde eu moro, o povo fala que quem é sortudo é largo, mano. É mais estranho. É largo. Ah, tu é largo. Ah, não sei o que lá é largo. Quem ganha um sorteio. Aí a gente é largo aqui, ó, pra ver. Ganha o sorteio. Sim.",0.1681350916624069,0.7552040815353394,0.0766608417034149,NEU,0.5697946548461914,0.0032385974191129,0.4091066420078277,0.001290559885092,0.0812204629182815,0.0135388849303126,0.0039728847332298,0.35186127,Geleia,Minecraft,minecraft mas posso criar SUPER FERRAMENTAS ESTICADAS... [sxEw5hsbfpQ],,GZ,GZ,GZ,"🎬 Canal: Geleia | 🎥 Vídeo: minecraft mas posso criar SUPER FERRAMENTAS ESTICADAS... [sxEw5hsbfpQ]
⏱️ Segmento/Index: 18
──────────────────────────────────────────────────
Fala transcrita:
""É que eu não sei se vale a pena chegar ali, porque a gente vai coisar os negócios, mano. É uma danada, velho. Eles não vão bater na gente? Ó. Não, bater eles vão, mas não vão dar muito dano. Então, sai... Ah, matei tão de uma vez só. Que? Tá, velho. Aí a gente tem que encontrar todo o ouro deles. Tem coisinha de Netherite aí. Pega aí pra gente, Robin. Exato. Tá, pega essas flechas também. Será que tem arco largo? Calma. Robin, a gente tem que achar todo o ouro desse negócio, velho. Tá bom, certo. Vou fazer isso. Porque a gente precisa de muito ouro pra fazer uma maçã dourada pra cada um. Uou. Larga. É, velho. Ah, eu acho que o Sebastião é aquele que não tem muito ouro, velho. É, pequenininho. Eu só caí de uma altura muito gigantesca e ele me deu dois coraçãozinhos de dano. É, velho. Muito opa esse aqui, mano. As coisas largas são boas. Aqui onde eu moro, o povo fala que quem é sortudo é largo, mano. É mais estranho. É largo. Ah, tu é largo. Ah, não sei o que lá é largo. Quem ganha um sorteio. Aí a gente é largo aqui, ó, pra ver. Ganha o sorteio. Sim."""
2,"Eu acho que em todas A especial Não é só nessa ai que tu pode ganhar especial Nas outras só pode ganhar lendário e só é 1% Vamos ver agora Lendário 3% Épico 31% É especial é só nessa E tem essa daqui que é comum Lendário 1% 30% está comum Vamos girar logo a hara aqui Eu quero tudo, tudo rapaz Já vai 20 gira aqui 1800 gemas Não, 20 gira, eu quero ver a girana aqui Vamos lá Já ganhei o ET O dinossauro Ganhei o hams fashion O samurai, samurai massa Uma época Vai devagar menina O bicho vai gastar o dinheiro ali Eu estou épico, raro É um lendário, vai lendário Raro, tem só um lendário aqui que eu já vi",0.06006895378232,0.7966834306716919,0.1432475745677948,NEU,0.0024601151235401,0.0019068224355578,0.0173224434256553,0.0017503775889053,0.014236525632441,0.0009575503063388,0.0031837560236454,0.10696511,meu nome é david,Roblox,GASTEI MAIS DE 3 MIL GEMAS NO STUMBLE GUYS E LIBEREI QUASE TUDO [8Qz5QI7X4mU],,NT,NT,NT,"🎬 Canal: meu nome é david | 🎥 Vídeo: GASTEI MAIS DE 3 MIL GEMAS NO STUMBLE GUYS E LIBEREI QUASE TUDO [8Qz5QI7X4mU]
⏱️ Segmento/Index: 2
──────────────────────────────────────────────────
Fala transcrita:
""Eu acho que em todas A especial Não é só nessa ai que tu pode ganhar especial Nas outras só pode ganhar lendário e só é 1% Vamos ver agora Lendário 3% Épico 31% É especial é só nessa E tem essa daqui que é comum Lendário 1% 30% está comum Vamos girar logo a hara aqui Eu quero tudo, tudo rapaz Já vai 20 gira aqui 1800 gemas Não, 20 gira, eu quero ver a girana aqui Vamos lá Já ganhei o ET O dinossauro Ganhei o hams fashion O samurai, samurai massa Uma época Vai devagar menina O bicho vai gastar o dinheiro ali Eu estou épico, raro É um lendário, vai lendário Raro, tem só um lendário aqui que eu já vi"""
27,"nono purpose Tu tá assim porque tu não ganhou uma coroa ainda né? É cara, é cara, o jogo é muito bom cara, mas é porque eu não ganhei uma coroa, como é que pode? Eu acabo querendo uma coroa, ô! Cara, só tem mais uma forma de tu conseguir uma coroa, tá ligado? Tu quer tentar ganhar essa coroa? Vai, vai, tá bom. Sei que eu não vou ganhar mesmo. Vai pronto, entrei no jogo aqui. Vai, qual é teu plano dessa vez? Ó, já joguei normal, já joguei torneio, tem que ser um parado diferente. Mas eu tenho um plano aqui, tá ligado? É o seguinte, ó, eu tô jogando no emulador, aí quando eu entro no emulador, tá ligado? Eu crio uma sala e só vem o boot quando eu aperto espaço bem rapidão. Quer dizer, entro uns play aqui, acular, tá ligado? Mas é bem pouquinho, pô, dá pra ganhar de boa. Não, é essa ideia aí foi diferente das outras, pode ser que dê certo, né? Não, mas peraí, peraí, eu não fiz uma coroa ainda não, mas eu tenho que pegar um skin de graça, tá ligado? Que nós que é mobile, toda a vida nós vemos um anúncio que é um skin de graça, né? Peraí, peraí, bem gerinho. Que abundância, meu irmão! Assim você vai matar o papai.",0.200950488448143,0.6985129117965698,0.1005366146564483,NEU,0.6269955039024353,0.0079761687666177,0.0468071587383747,0.0051963590085506,0.0501635149121284,0.0373949371278286,0.0241240169852972,0.34328604,meu nome é david,Roblox,STUMBLE GUYS NA VIDA REAL O FILME - SUPER COMPILADO [KjRhJUTatR4],,GZ,GZ,GZ,"🎬 Canal: meu nome é david | 🎥 Vídeo: STUMBLE GUYS NA VIDA REAL O FILME - SUPER COMPILADO [KjRhJUTatR4]
⏱️ Segmento/Index: 27
──────────────────────────────────────────────────
Fala transcrita:
""nono purpose Tu tá assim porque tu não ganhou uma coroa ainda né? É cara, é cara, o jogo é muito bom cara, mas é porque eu não ganhei uma coroa, como é que pode? Eu acabo querendo uma coroa, ô! Cara, só tem mais uma forma de tu conseguir uma coroa, tá ligado? Tu quer tentar ganhar essa coroa? Vai, vai, tá bom. Sei que eu não vou ganhar mesmo. Vai pronto, entrei no jogo aqui. Vai, qual é teu plano dessa vez? Ó, já joguei normal, já joguei torneio, tem que ser um parado diferente. Mas eu tenho um plano aqui, tá ligado? É o seguinte, ó, eu tô jogando no emulador, aí quando eu entro no emulador, tá ligado? Eu crio uma sala e só vem o boot quando eu aperto espaço bem rapidão. Quer dizer, entro uns play aqui, acular, tá ligado? Mas é bem pouquinho, pô, dá pra ganhar de boa. Não, é essa ideia aí foi diferente das outras, pode ser que dê certo, né? Não, mas peraí, peraí, eu não fiz uma coroa ainda não, mas eu tenho que pegar um skin de graça, tá ligado? Que nós que é mobile, toda a vida nós vemos um anúncio que é um skin de graça, né? Peraí, peraí, bem gerinho. Que abundância, meu irmão! Assim você vai matar o papai."""
