index,tiras,negatividade,neutralidade,positividade,sentimento_dominante,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,p_toxicity,Creator Name,Game Environment,Video Name,toxicidade,class_detoxify,class_perspective,classificacao_ia,texto_exibicao,Anotador_1,Anotador_2
4,"Pra janta, olha eu não sei cara, umas 3 maçãs talvez, umas 3 maçãs vai, vá para casa, por que eu tô olhando para baixo? Vá para casa, é comigo mesmo, vou levar minhas três maçãs para casa, essa vai ser minha janta. Não quero comer nada muito pesado, porque já tá tarde da noite, não vai dar para fazer a digestão direito e tal, eu disse que não é bom comer nada muito pesado a noite né, antes de dormir, quem ouve eu falando acho que eu faço isso, eu não bato uma pratada a noite, não tá nem aí, a minha casa era uma das últimas? Era essa aqui? Meu Deus cara, que susto, o cara tá me stalkeando aqui em casa, o Ismaelimã, o que está fazendo da sua vida cara? O que está fazendo? Vai morar na sua casa lá cara, vai dormir, tá tarde da noite e você fica stalkeando os outros aqui meu?",0.1922368854284286,0.7737963199615479,0.0339668504893779,NEU,0.0448640398681163,0.000611393013969,0.0083371736109256,0.0035559320822358,0.011781339533627,0.0020847059786319,0.0012549494858831,0.1104733,Tex HS,Roblox,cuidado com o SMILING MAN [5A4NyBJFqYI],,NT,NT,NT,"🎬 Canal: Tex HS | 🎥 Vídeo: cuidado com o SMILING MAN [5A4NyBJFqYI]
⏱️ Segmento/Index: 4
──────────────────────────────────────────────────
Fala transcrita:
""Pra janta, olha eu não sei cara, umas 3 maçãs talvez, umas 3 maçãs vai, vá para casa, por que eu tô olhando para baixo? Vá para casa, é comigo mesmo, vou levar minhas três maçãs para casa, essa vai ser minha janta. Não quero comer nada muito pesado, porque já tá tarde da noite, não vai dar para fazer a digestão direito e tal, eu disse que não é bom comer nada muito pesado a noite né, antes de dormir, quem ouve eu falando acho que eu faço isso, eu não bato uma pratada a noite, não tá nem aí, a minha casa era uma das últimas? Era essa aqui? Meu Deus cara, que susto, o cara tá me stalkeando aqui em casa, o Ismaelimã, o que está fazendo da sua vida cara? O que está fazendo? Vai morar na sua casa lá cara, vai dormir, tá tarde da noite e você fica stalkeando os outros aqui meu?""",Avaliador_A,Avaliador_B
15,"É isso, mesa de encantamentos, tá na hora, eu vou pegar a fiação 1 aqui pra minha espada, ah, eu tirei da mesa de encantamentos, ela já virou outra coisa, mas eu ainda vou encantar o meu peitoral e a minha calça, inclusive eu já vou deixar o meu peitoral aqui no meu inventário, porque aí quando eu ver a próxima mesa de encantamentos eu já tô prontinho pra colocar o peitoral na mesa. Aham, beleza, cadê? Eu tô andando um monte aqui, até agora não vi um bloco de lápis lazuli, diamante eu não preciso mais! Eu acho que nem é necessário tanto assim encantar, David, porque você não vai conseguir coisas tão boas, o que eu preciso, que eu tô precisando muito, é uma mesa de trabalho, mas eu não encontro! O Creeper apareceu aqui bem na hora que eu encontrei mais um bloco de diamante, eu também tô precisando de uma mesa de trabalho agora! Ah, eu tô com um bloco de lápis lazuli, calma! Não, não, Creeper, não, meu bloco, cara! Ah, veio lápis! Fiz a armadura completa de diamante, finalmente! Robin, você quer diamante? Eu já tenho diamante, só falta a mesa de trabalho, só falta eu ficar com o diamante aqui, você e o David já ficaram! É, mas cadê a mesa de encantamentos? Achei, eu preciso só encostar nela, não, ela virou outra coisa!",0.0503536090254783,0.6892471313476562,0.2603992819786072,NEU,0.3070980906486511,0.0074313543736934,0.0590021349489688,0.0037928211968392,0.0343584194779396,0.011044418439269,0.0139926085248589,0.21642438,Robin Hood Gamer,Minecraft,Minecraft mas onde você olha blocos aleatórios aparecem... [vTfvO00a6CI],,GZ,GZ,GZ,"🎬 Canal: Robin Hood Gamer | 🎥 Vídeo: Minecraft mas onde você olha blocos aleatórios aparecem... [vTfvO00a6CI]
⏱️ Segmento/Index: 15
──────────────────────────────────────────────────
Fala transcrita:
""É isso, mesa de encantamentos, tá na hora, eu vou pegar a fiação 1 aqui pra minha espada, ah, eu tirei da mesa de encantamentos, ela já virou outra coisa, mas eu ainda vou encantar o meu peitoral e a minha calça, inclusive eu já vou deixar o meu peitoral aqui no meu inventário, porque aí quando eu ver a próxima mesa de encantamentos eu já tô prontinho pra colocar o peitoral na mesa. Aham, beleza, cadê? Eu tô andando um monte aqui, até agora não vi um bloco de lápis lazuli, diamante eu não preciso mais! Eu acho que nem é necessário tanto assim encantar, David, porque você não vai conseguir coisas tão boas, o que eu preciso, que eu tô precisando muito, é uma mesa de trabalho, mas eu não encontro! O Creeper apareceu aqui bem na hora que eu encontrei mais um bloco de diamante, eu também tô precisando de uma mesa de trabalho agora! Ah, eu tô com um bloco de lápis lazuli, calma! Não, não, Creeper, não, meu bloco, cara! Ah, veio lápis! Fiz a armadura completa de diamante, finalmente! Robin, você quer diamante? Eu já tenho diamante, só falta a mesa de trabalho, só falta eu ficar com o diamante aqui, você e o David já ficaram! É, mas cadê a mesa de encantamentos? Achei, eu preciso só encostar nela, não, ela virou outra coisa!""",Avaliador_A,Avaliador_B
2,"Cadê, vai! Vai pra essa... Não, tem que matar ela mesmo, mata você primeiro pra você testar, Eduardo Meu Deus... Eduardo, acerta tudo, menos a galinha Matei! Tadinha da galinha, gente! Agora o que que eu faço? Agora, vê se desbloqueou, pra mim não desbloqueou, né? Porque não fui eu que matei a galinha Desbloqueou, desbloqueou, desbloqueou! Vai, Eduardo, testa esse negócio aí então Tem que apertar... Olha, tudo que sobe é... Não sei se você sabe, desce Pera, você tá descendo... Eu pensei que ia descer igual a galinha Não desceu Eduardo, eu não vou dar mole e já vou pegar aqui uma madeira que eu também quero pegar uma galinha Vou te ajudar Pega a outra madeira, não pega a mesma que eu não, né, maluca? Isso aqui é craft interval, vou fazer uma picareta porque eu vou pegar emprestado, né? A casa do amigo aqui, ó Porque...",0.9290189146995544,0.0551084242761135,0.0158727131783962,NEG,0.9297595620155334,0.0090491734445095,0.0414635241031646,0.0041811717674136,0.0504553951323032,0.2445729374885559,0.0093729207292199,0.584095,Marcelodrv,Minecraft,COMO GANHAR os PODERES dos MOBS DO MINECRAFT [aT6dun2i92g],,T,T,T,"🎬 Canal: Marcelodrv | 🎥 Vídeo: COMO GANHAR os PODERES dos MOBS DO MINECRAFT [aT6dun2i92g]
⏱️ Segmento/Index: 2
──────────────────────────────────────────────────
Fala transcrita:
""Cadê, vai! Vai pra essa... Não, tem que matar ela mesmo, mata você primeiro pra você testar, Eduardo Meu Deus... Eduardo, acerta tudo, menos a galinha Matei! Tadinha da galinha, gente! Agora o que que eu faço? Agora, vê se desbloqueou, pra mim não desbloqueou, né? Porque não fui eu que matei a galinha Desbloqueou, desbloqueou, desbloqueou! Vai, Eduardo, testa esse negócio aí então Tem que apertar... Olha, tudo que sobe é... Não sei se você sabe, desce Pera, você tá descendo... Eu pensei que ia descer igual a galinha Não desceu Eduardo, eu não vou dar mole e já vou pegar aqui uma madeira que eu também quero pegar uma galinha Vou te ajudar Pega a outra madeira, não pega a mesma que eu não, né, maluca? Isso aqui é craft interval, vou fazer uma picareta porque eu vou pegar emprestado, né? A casa do amigo aqui, ó Porque...""",Avaliador_A,Avaliador_B
2,Onde é que é? Onde é que é? Onde é que é? Onde é que é? Onde é que é? Onde é que é? Onde é que é?,0.1368171423673629,0.8278830647468567,0.0352998040616512,NEU,0.0011380949290469,0.0035878394264727,0.0283036213368177,0.0037463172338902,0.0215559061616659,0.001693672616966,0.0008003447437658,0.0068799187,Luluca Games,Roblox,Roblox - FUI PRESA COM MINHA MÃE NA PRISÃO DO SR. BOOMER Escape Mr. Boomers Prison  Luluca Games [ZF-hWVvBXA0],0.1368171870708465,NT,NT,NT,"🎬 Canal: Luluca Games | 🎥 Vídeo: Roblox - FUI PRESA COM MINHA MÃE NA PRISÃO DO SR. BOOMER Escape Mr. Boomers Prison  Luluca Games [ZF-hWVvBXA0]
⏱️ Segmento/Index: 2
──────────────────────────────────────────────────
Fala transcrita:
""Onde é que é? Onde é que é? Onde é que é? Onde é que é? Onde é que é? Onde é que é? Onde é que é?""",Avaliador_A,Avaliador_B
4,"Pronto. Nossa, lá vai. Lá vai. Tem que bater a hundi pra responder. Mano, você... eu vou botar aqui, ó, vou botar o botão aqui, ó. Pera aí. Então, beleza, vai. Quem está de vermelho é o Lipão, não é isso? Isso, vai. Passa ou repassa ao vivo? Quem está de branco, quem é que está de branco? Sou eu, sou eu, bibi. Boa. Bibi, muito bem. Pergunta. Atenção, mão na orelha. Mão na orelha. Mão na orelha. Mão na orelha, bota... Ai, meu Deus. Tira a mão do mouse, Lipão, tira a mão do mouse. Eu tire a mão do mouse, estou aqui com a mão na orelha já. Como é que se diz arco-íris em inglês? A bibi. A bibi. Foi a bibi, foi a bibi. Bibi. Arco-íris... Rainbow. Certa a resposta. A gente não sabia. Bota na cara do Bibi. Bibi! Não vou lhe dar uma tratada, não. Não vou lhe dar uma tratada, não. Bota na cara do Bibi. Vai, espoque Kauê agora, hein, mano? Vai lá, espoque Kauêzinho no passo ou repassa no Minecraft. Assim, Kauê. Levanta a mão, os dois levantam a mão. A gente está aqui, eu sou o juiz dos dois, mano. Ó, a galera vai ver, mano. O primeiro, ó, eu vou ter que me mear meu pontinho. Isso aqui é apertar, né? Quem está de verde? É, quem é apertar?",0.0584390312433242,0.5512672066688538,0.3902937769889831,NEU,0.2248035371303558,0.0031983412336558,0.0456046499311924,0.0049427603371441,0.0299373343586921,0.0097682094201445,0.0258393250405788,0.295883,AuthenticGames,Minecraft,SURVIVAL COM CELSO PORTIOLLI E BIBI [Bs1767uhq84],,GZ,GZ,GZ,"🎬 Canal: AuthenticGames | 🎥 Vídeo: SURVIVAL COM CELSO PORTIOLLI E BIBI [Bs1767uhq84]
⏱️ Segmento/Index: 4
──────────────────────────────────────────────────
Fala transcrita:
""Pronto. Nossa, lá vai. Lá vai. Tem que bater a hundi pra responder. Mano, você... eu vou botar aqui, ó, vou botar o botão aqui, ó. Pera aí. Então, beleza, vai. Quem está de vermelho é o Lipão, não é isso? Isso, vai. Passa ou repassa ao vivo? Quem está de branco, quem é que está de branco? Sou eu, sou eu, bibi. Boa. Bibi, muito bem. Pergunta. Atenção, mão na orelha. Mão na orelha. Mão na orelha. Mão na orelha, bota... Ai, meu Deus. Tira a mão do mouse, Lipão, tira a mão do mouse. Eu tire a mão do mouse, estou aqui com a mão na orelha já. Como é que se diz arco-íris em inglês? A bibi. A bibi. Foi a bibi, foi a bibi. Bibi. Arco-íris... Rainbow. Certa a resposta. A gente não sabia. Bota na cara do Bibi. Bibi! Não vou lhe dar uma tratada, não. Não vou lhe dar uma tratada, não. Bota na cara do Bibi. Vai, espoque Kauê agora, hein, mano? Vai lá, espoque Kauêzinho no passo ou repassa no Minecraft. Assim, Kauê. Levanta a mão, os dois levantam a mão. A gente está aqui, eu sou o juiz dos dois, mano. Ó, a galera vai ver, mano. O primeiro, ó, eu vou ter que me mear meu pontinho. Isso aqui é apertar, né? Quem está de verde? É, quem é apertar?""",Avaliador_A,Avaliador_B
20,"a esmeralda, vê se da pra comprar uma pelo menos pra você ir lá aham, da comprei uma só que eu não preciso de eles não colocaram a desidia? eu acho que era você acha? eu acho que sim ai gente como eu quase quebrei a cama deles só tava com uma mãe você tem alguma coisa? porque eu não tenho nada mãe ele ta vindo pra cá ai meu deus ali ali a que que é isso? ai ele jogou um monte de bicho na gente socorro ai ai ai sai dai sai dai não, mata esse bicho onde? ali, construindo ponte ai ele ta aqui? sim, ta é que tem um que ta invisível, ele deve ta tentando quebrar a nossa cama ai, to indo pra deles cadê você?",0.7186915278434753,0.221496045589447,0.0598124340176582,NEG,0.343061238527298,0.0019494021544232,0.055209957063198,0.0014474893687292,0.0529225207865238,0.0226462166756391,0.0032681049779057,0.34757367,Julia MineGirl,Roblox,Minecraft - BED WARS MAIS EMOCIONANTE [GqgSxP7uLBc],,GZ,GZ,GZ,"🎬 Canal: Julia MineGirl | 🎥 Vídeo: Minecraft - BED WARS MAIS EMOCIONANTE [GqgSxP7uLBc]
⏱️ Segmento/Index: 20
──────────────────────────────────────────────────
Fala transcrita:
""a esmeralda, vê se da pra comprar uma pelo menos pra você ir lá aham, da comprei uma só que eu não preciso de eles não colocaram a desidia? eu acho que era você acha? eu acho que sim ai gente como eu quase quebrei a cama deles só tava com uma mãe você tem alguma coisa? porque eu não tenho nada mãe ele ta vindo pra cá ai meu deus ali ali a que que é isso? ai ele jogou um monte de bicho na gente socorro ai ai ai sai dai sai dai não, mata esse bicho onde? ali, construindo ponte ai ele ta aqui? sim, ta é que tem um que ta invisível, ele deve ta tentando quebrar a nossa cama ai, to indo pra deles cadê você?""",Avaliador_A,Avaliador_B
1,"Eles estão todos aqui nesses mini baús Se eu abro o baú... Ai! Ai, eu não consigo abrir o baú de tão pequeno que ele é Mas se vocês olharem ali tem os móveis Só que agora eu preciso colocar todos esses móveis dentro da minha casa E eu não tô com muita vontade de fazer isso Eu preciso conseguir alguém pra colocar os mini móveis dentro da minha casa Eu já tenho uma ideia, os meus amigos estão lá embaixo e eu vou chamar eles pra brincar comigo Mas na verdade o que eu vou fazer eles é colocar na minha casinha de boneca e vou colocar eles pra trabalhar Ô Bala! Oi, oi, oi, eu tô afim de brincar na casa do Atus Ah, eu quero ir também, olha essa casona, deve ser muito legal brincar lá Bora, bora brincar, ô Naru, bora! Bora, Naru, bora! Não dá, gente, pra ir agora, o cachorro tá latindo e chorando, eu não sei o que que ele quer Bora, bora brincar com o Atus Bora lá, bora lá, olha também essa casona Mas agora não dá, ele tá chorando Toque, toque Toque, toque, toque Olha só, acho que meus amigos chegaram, e aí o Bala e o Furious, eu vou abrir a porta pra eles Oi, Bala, Furious!",0.1456707417964935,0.5870258212089539,0.2673034369945526,NEU,0.0348536223173141,0.0037000668235123,0.0372898429632186,0.0031085666269063,0.0293555073440074,0.0034352717921137,0.0018213798757642,0.1641865,Athos,Minecraft,TRANQUEI MEUS AMIGOS EM UMA CASA DE BONECAS NO MINECRAFT [a0byNXW8BJQ],,NT,NT,NT,"🎬 Canal: Athos | 🎥 Vídeo: TRANQUEI MEUS AMIGOS EM UMA CASA DE BONECAS NO MINECRAFT [a0byNXW8BJQ]
⏱️ Segmento/Index: 1
──────────────────────────────────────────────────
Fala transcrita:
""Eles estão todos aqui nesses mini baús Se eu abro o baú... Ai! Ai, eu não consigo abrir o baú de tão pequeno que ele é Mas se vocês olharem ali tem os móveis Só que agora eu preciso colocar todos esses móveis dentro da minha casa E eu não tô com muita vontade de fazer isso Eu preciso conseguir alguém pra colocar os mini móveis dentro da minha casa Eu já tenho uma ideia, os meus amigos estão lá embaixo e eu vou chamar eles pra brincar comigo Mas na verdade o que eu vou fazer eles é colocar na minha casinha de boneca e vou colocar eles pra trabalhar Ô Bala! Oi, oi, oi, eu tô afim de brincar na casa do Atus Ah, eu quero ir também, olha essa casona, deve ser muito legal brincar lá Bora, bora brincar, ô Naru, bora! Bora, Naru, bora! Não dá, gente, pra ir agora, o cachorro tá latindo e chorando, eu não sei o que que ele quer Bora, bora brincar com o Atus Bora lá, bora lá, olha também essa casona Mas agora não dá, ele tá chorando Toque, toque Toque, toque, toque Olha só, acho que meus amigos chegaram, e aí o Bala e o Furious, eu vou abrir a porta pra eles Oi, Bala, Furious!""",Avaliador_A,Avaliador_B
5,"Olha pra tu ver se tem arma aqui É mesmo aqui, não tem arma não Não tem não, só achei essa daqui mandando pra cima É verdade, é verdade Eu tive aqui ó, quero atravessar rios e mares pra pegar essa arma aqui Ah é verdade, não tem arma aqui não Tu é uma ótima du, tu é sincero, extrovertido, confiável Eu gosto de jogar com tu por causa disso Ó, mas se tu tivesse... se tu tivesse arma tu me dava né? Dava pô, é porque eu só tenho essa daqui Tu quer que eu dê ela pra tu e eu fico sem arma? Não, é melhor tu ficar com ela, tu joga melhor, derdável Tá vendo? Pois é, mas se eu tivesse ela tu dava Ó pô, eu vou lá na frente tentar pegar a arma e tu me protege viu Pode ir pô, pode ir Tu vai olhando Tu vai nas minhas costas Quase de olho fechado meu parceiro Tu vai nas minhas costas, tá vendo?",0.140211284160614,0.6487056016921997,0.211083173751831,NEU,0.64927077293396,0.0096057951450347,0.05893175303936,0.0032611363567411,0.0482086353003978,0.0277335811406373,0.0160062927752733,0.30514878,meu nome é david,Roblox,FREE FIRE NA VIDA REAL - EXPECTATIVA VS REALIDADE 3 [mP0M-3P1Ae4],,GZ,GZ,GZ,"🎬 Canal: meu nome é david | 🎥 Vídeo: FREE FIRE NA VIDA REAL - EXPECTATIVA VS REALIDADE 3 [mP0M-3P1Ae4]
⏱️ Segmento/Index: 5
──────────────────────────────────────────────────
Fala transcrita:
""Olha pra tu ver se tem arma aqui É mesmo aqui, não tem arma não Não tem não, só achei essa daqui mandando pra cima É verdade, é verdade Eu tive aqui ó, quero atravessar rios e mares pra pegar essa arma aqui Ah é verdade, não tem arma aqui não Tu é uma ótima du, tu é sincero, extrovertido, confiável Eu gosto de jogar com tu por causa disso Ó, mas se tu tivesse... se tu tivesse arma tu me dava né? Dava pô, é porque eu só tenho essa daqui Tu quer que eu dê ela pra tu e eu fico sem arma? Não, é melhor tu ficar com ela, tu joga melhor, derdável Tá vendo? Pois é, mas se eu tivesse ela tu dava Ó pô, eu vou lá na frente tentar pegar a arma e tu me protege viu Pode ir pô, pode ir Tu vai olhando Tu vai nas minhas costas Quase de olho fechado meu parceiro Tu vai nas minhas costas, tá vendo?""",Avaliador_A,Avaliador_B
1,"Esse aqui é o meu segundo livro, é um livrão de atividades. Olha que demais, pessoal! Vou virar aqui pra vocês verem atrás. Lu Luca no mundo dos desafios! E aqui dentro tá cheeeeeenho de desafios pra gente brincar e se divertir muuuuito juntinhos! Aí, pessoal! Eu amei demais! Um spoiler, eu vou ser muito rápida pra vocês. Lu Luca, mas quanto que vai lançar? Vocês são curiosos assim como eu, né? Logo, logo, o nosso livro já vai ser lançado! Então, fiquem ligadinhos nas minhas redes sociais aqui no YouTube, lá no meu Instagram, que eu vou contando tudo pra vocês! Dato de lançamento, tarde de autógrafos que eu adoro demais porque eu amo encontrar os meus pandinhas! E eu tenho certeza que vocês vão amar o livro assim como eu! Vamos pro vídeo! Então, vamos em Estados Unidos... Olha, vamos ler aqui.",0.013051439076662,0.1982917785644531,0.7886567115783691,POS,0.0346302837133407,0.0013229658361524,0.0281647201627492,0.0015586428344249,0.0099259726703166,0.0008255374850705,0.001769024413079,0.058490243,Luluca Games,Roblox,Roblox - A COZINHEIRA MALUCA Restaurant Tycoon 2  Luluca Games [BDXD1EzOWOg],0.0130514064803719,NT,NT,NT,"🎬 Canal: Luluca Games | 🎥 Vídeo: Roblox - A COZINHEIRA MALUCA Restaurant Tycoon 2  Luluca Games [BDXD1EzOWOg]
⏱️ Segmento/Index: 1
──────────────────────────────────────────────────
Fala transcrita:
""Esse aqui é o meu segundo livro, é um livrão de atividades. Olha que demais, pessoal! Vou virar aqui pra vocês verem atrás. Lu Luca no mundo dos desafios! E aqui dentro tá cheeeeeenho de desafios pra gente brincar e se divertir muuuuito juntinhos! Aí, pessoal! Eu amei demais! Um spoiler, eu vou ser muito rápida pra vocês. Lu Luca, mas quanto que vai lançar? Vocês são curiosos assim como eu, né? Logo, logo, o nosso livro já vai ser lançado! Então, fiquem ligadinhos nas minhas redes sociais aqui no YouTube, lá no meu Instagram, que eu vou contando tudo pra vocês! Dato de lançamento, tarde de autógrafos que eu adoro demais porque eu amo encontrar os meus pandinhas! E eu tenho certeza que vocês vão amar o livro assim como eu! Vamos pro vídeo! Então, vamos em Estados Unidos... Olha, vamos ler aqui.""",Avaliador_A,Avaliador_B
6,"Eu também, gente! Eu vou pelo trio, que aí pelo trio não tem risco! Vou pular esse foguito... Tu-tu-tu-tu-tu-tu-tu-tu-tu-tu-tu-tu-tu... Tu-tu-tu-tu-tu-tu-tu-tu-tu-tu-tu-tu-tu-tu-tu-tu-tu-tu-tu... Gente, gente, eu tô toda desafinada, mami! Não vou nem cantar aqui, porque tá tudo... Sabe? Cê! Ai, gente, nervosa! Cheguei! Eu quero ser ondem, mas... Ailer! Ailer! Vai, o Lúca, vem logo, por favor! Eu tenho que esperar! Olá! Cuidado com a cobra! Mami? Me responda uma coisa. Sim, Lúca? Você gosta de filmes de terror? Eu gosto, mas eu tô me sentindo aqui Indiana Jones! Indiana Jones? Jumanji! Jumanji! Ai, ai, ai! Ai, ai, ai! Ai, ai! Ai, ai, ai! Ai, ai, ai! Ai, ai, ai! Ai, ai, ai! Eu só falei ai, ai, ai pra pular em todos, né, gente? É porque ajuda na concentração, né, mami? Ajuda, sim, o Lúca! E agora parece barras de ouro!",0.073651485145092,0.3071136474609375,0.6192349195480347,POS,0.232877492904663,0.0021884837187826,0.0316485427320003,0.0018476775148883,0.0167102888226509,0.006795922294259,0.0073665687814354,0.3389984,Luluca Games,Roblox,Roblox - ESCAPAMOS DA PRISÃO no MUNDO do VELHO OESTE Escape the Wild West Obby  Luluca Games [gmCQsZ_AuGk],0.07365133613348,GZ,GZ,GZ,"🎬 Canal: Luluca Games | 🎥 Vídeo: Roblox - ESCAPAMOS DA PRISÃO no MUNDO do VELHO OESTE Escape the Wild West Obby  Luluca Games [gmCQsZ_AuGk]
⏱️ Segmento/Index: 6
──────────────────────────────────────────────────
Fala transcrita:
""Eu também, gente! Eu vou pelo trio, que aí pelo trio não tem risco! Vou pular esse foguito... Tu-tu-tu-tu-tu-tu-tu-tu-tu-tu-tu-tu-tu... Tu-tu-tu-tu-tu-tu-tu-tu-tu-tu-tu-tu-tu-tu-tu-tu-tu-tu-tu... Gente, gente, eu tô toda desafinada, mami! Não vou nem cantar aqui, porque tá tudo... Sabe? Cê! Ai, gente, nervosa! Cheguei! Eu quero ser ondem, mas... Ailer! Ailer! Vai, o Lúca, vem logo, por favor! Eu tenho que esperar! Olá! Cuidado com a cobra! Mami? Me responda uma coisa. Sim, Lúca? Você gosta de filmes de terror? Eu gosto, mas eu tô me sentindo aqui Indiana Jones! Indiana Jones? Jumanji! Jumanji! Ai, ai, ai! Ai, ai, ai! Ai, ai! Ai, ai, ai! Ai, ai, ai! Ai, ai, ai! Ai, ai, ai! Eu só falei ai, ai, ai pra pular em todos, né, gente? É porque ajuda na concentração, né, mami? Ajuda, sim, o Lúca! E agora parece barras de ouro!""",Avaliador_A,Avaliador_B
