index,tiras,negatividade,neutralidade,positividade,sentimento_dominante,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,p_toxicity,Creator Name,Game Environment,Video Name,toxicidade,class_detoxify,class_perspective,classificacao_ia,texto_exibicao,Anotador_1,Anotador_2
24,"Ué, que estranho Tá normal Ai, eu preciso atacar todos os Azul Babão Deixa eu pegar meu arco Cuidado, arco Ai, eu vou tentar, eu vou tentar sobreviver Massa dourada, boa, boa, boa Comer massa dourada e recupera a vida Aí Tô chegando, cheguei Isso, me ajuda, me ajuda, tá flechada E isso, batada em todos os Azul Babão Toma Azul Babão Matei um, agora outro e mais um aqui Boa Um coração, Bala, um coração Sua casa está sendo atacada Bala, a gente precisa voltar pra casa Vamos direto pra casa O Donkey Kong invadiu a nossa casa Ele tá na frente dela só esperando a gente chegar Olha lá, o Donkey Kong tá nos atacando Ele tá jogando banana, Bala Cuidado, Atus Eu vou atirar com o arco nele Toma, toma flechada Ele não para de atirar a banana E vamos dar espadada também nele Toma Ai, ai, ai, ai As bananas dele dão muito dano, Bala Nossa, nossa, eu tô quase morrendo Vai pra trás das árvores, ele quer explodir tudo Ele quer explodir tudo, Bala Volta aqui, Bala Quando você renascer, volta aqui A vida dele já tá na metade É isso aí, é isso aí Tem uma coisa que a gente ganhou antes que foi a boca do Pac-Man Vamos tentar matar ele com a boca do Pac-Man Isso, vamos Talvez vai dar certo Aqui, só chegar aqui por trás dele Ai, ele me explodiu Nossa, ele te explodiu também, Bala Aí, agora vai Eu vou usar a boca de Pac-Man nele, Bala Vou usar, vou usar aqui O centro Deu certo, deu certo Conseguimos vencer o Donkey Kong Agora nossa casa tá salvo E olha só, a gente conseguiu todos os jogos Finalmente temos todos os jogos",0.1429436355829239,0.7317811846733093,0.1252751350402832,NEU,0.5646128058433533,0.0136736873537302,0.0506161786615848,0.0046965954825282,0.0503351017832756,0.0413784012198448,0.0145648634061217,0.33338684,Athos,Minecraft,A Cada XP eu viro um JOGO no Minecraft [HiShNlWkD5E],,GZ,GZ,GZ,"🎬 Canal: Athos | 🎥 Vídeo: A Cada XP eu viro um JOGO no Minecraft [HiShNlWkD5E]
⏱️ Segmento/Index: 24
──────────────────────────────────────────────────
Fala transcrita:
""Ué, que estranho Tá normal Ai, eu preciso atacar todos os Azul Babão Deixa eu pegar meu arco Cuidado, arco Ai, eu vou tentar, eu vou tentar sobreviver Massa dourada, boa, boa, boa Comer massa dourada e recupera a vida Aí Tô chegando, cheguei Isso, me ajuda, me ajuda, tá flechada E isso, batada em todos os Azul Babão Toma Azul Babão Matei um, agora outro e mais um aqui Boa Um coração, Bala, um coração Sua casa está sendo atacada Bala, a gente precisa voltar pra casa Vamos direto pra casa O Donkey Kong invadiu a nossa casa Ele tá na frente dela só esperando a gente chegar Olha lá, o Donkey Kong tá nos atacando Ele tá jogando banana, Bala Cuidado, Atus Eu vou atirar com o arco nele Toma, toma flechada Ele não para de atirar a banana E vamos dar espadada também nele Toma Ai, ai, ai, ai As bananas dele dão muito dano, Bala Nossa, nossa, eu tô quase morrendo Vai pra trás das árvores, ele quer explodir tudo Ele quer explodir tudo, Bala Volta aqui, Bala Quando você renascer, volta aqui A vida dele já tá na metade É isso aí, é isso aí Tem uma coisa que a gente ganhou antes que foi a boca do Pac-Man Vamos tentar matar ele com a boca do Pac-Man Isso, vamos Talvez vai dar certo Aqui, só chegar aqui por trás dele Ai, ele me explodiu Nossa, ele te explodiu também, Bala Aí, agora vai Eu vou usar a boca de Pac-Man nele, Bala Vou usar, vou usar aqui O centro Deu certo, deu certo Conseguimos vencer o Donkey Kong Agora nossa casa tá salvo E olha só, a gente conseguiu todos os jogos Finalmente temos todos os jogos""",Avaliador_A,Avaliador_E
1,Uou! Deu certo!,0.0034424581099301,0.0201700646430253,0.97638738155365,POS,0.0010543504031375,5.749216143158265e-05,0.0008752224384807,0.0001011669737636,0.0006199541967362,0.0001275832619285,8.109273767331615e-05,0.0069113337,Athos,Minecraft,Dei VIDA para as COISAS no MINECRAFT [uzzm3d9HuYA],,NT,NT,NT,"🎬 Canal: Athos | 🎥 Vídeo: Dei VIDA para as COISAS no MINECRAFT [uzzm3d9HuYA]
⏱️ Segmento/Index: 1
──────────────────────────────────────────────────
Fala transcrita:
""Uou! Deu certo!""",Avaliador_A,Avaliador_E
10,"Ela é assim, minha mãe maluquinha Meu Deus do céu, vocês conseguiram matar o Herobrine Eu estou com medo Eduarda, ela ficou com medo do Herobrine de mentirinha que eu fiz Não fala alto não, seu doido É mentira Meu Deus do céu, Eduarda Ela não tem nem medo do Herobrine, fi Quem não tem medo do Herobrine? Se esconde, Eduarda, se esconde dentro desse mato Se esconde Tá nada escondido, Eduarda, dá pra te ver lá do Japão Mas tudo bem Olha que gigante, eu duvido você passar desse rio aí Eu duvido Você tem medo de água, né? Eu não gosto de tomar bainão, né? Mas eu vou ter que encarar isso aqui, né? Ai Ah, não quero Tá quente, tá quente demais isso aqui, o que está acontecendo? Está água maluca? Eu vou é pular isso aqui, seu espaldo de doido Meu Deus, Eduarda Ela conseguiu pular o negócio, Eduarda Marcelo, vem aqui, vem aqui, vem aqui Eu preciso te contar um negócio, vem cá, vem cá O que, Eduarda? Tem uma poção Hã?",0.2920357882976532,0.5846286416053772,0.1233356073498725,NEU,0.7529444694519043,0.0110541610047221,0.0567732602357864,0.0085209943354129,0.0509282536804676,0.0042636184953153,0.0095226028934121,0.3260917,Marcelodrv,Minecraft,100 Hacks de SEGURANÇA contra MONSTROS - O FILME [NpsZwHJCJzE],,GZ,GZ,GZ,"🎬 Canal: Marcelodrv | 🎥 Vídeo: 100 Hacks de SEGURANÇA contra MONSTROS - O FILME [NpsZwHJCJzE]
⏱️ Segmento/Index: 10
──────────────────────────────────────────────────
Fala transcrita:
""Ela é assim, minha mãe maluquinha Meu Deus do céu, vocês conseguiram matar o Herobrine Eu estou com medo Eduarda, ela ficou com medo do Herobrine de mentirinha que eu fiz Não fala alto não, seu doido É mentira Meu Deus do céu, Eduarda Ela não tem nem medo do Herobrine, fi Quem não tem medo do Herobrine? Se esconde, Eduarda, se esconde dentro desse mato Se esconde Tá nada escondido, Eduarda, dá pra te ver lá do Japão Mas tudo bem Olha que gigante, eu duvido você passar desse rio aí Eu duvido Você tem medo de água, né? Eu não gosto de tomar bainão, né? Mas eu vou ter que encarar isso aqui, né? Ai Ah, não quero Tá quente, tá quente demais isso aqui, o que está acontecendo? Está água maluca? Eu vou é pular isso aqui, seu espaldo de doido Meu Deus, Eduarda Ela conseguiu pular o negócio, Eduarda Marcelo, vem aqui, vem aqui, vem aqui Eu preciso te contar um negócio, vem cá, vem cá O que, Eduarda? Tem uma poção Hã?""",Avaliador_A,Avaliador_E
1,"Moça, esse baú não é normal não, ele tem dentes afiados e tá tentando me devorar É um baú mutante, eu nunca vi algo parecido tal, vim se queim pro DAAAAM, McFly Gente, já tá bem, o que você tá fazendo na minha casa? Eu vim pegar os seus minérios emprestados, só que aí quando eu fui abrir o baú ele me atacou e tentou me engolir Aí então funcionou isso! Como assim funcionou? O que você tá travando? Eu sabia que algum dia algum ladrão poderia vir aqui e roubar as coisas do meu baú, só que eles não sabem que eu criei esse baú mutante Você criou um baú mutante com dentes afiados e perigoso, né? Você gostou? Eu odiei ele, eu odiei ele, olha só, cadê você? O baúzinho, cadê você? Tá escondido né? Olha aqui, olha aqui, ele tá comendo a parede da sua casa, não queria falar nada não, agora ele tá tentando morder eu Deixa eu comer uma maçã que eu tô com fome, eu sei, ele é agressivo até comigo De vez em quando Ele não te respeita?",0.3861565887928009,0.5248568058013916,0.0889866277575492,NEU,0.921662211418152,0.0084081655368208,0.064830794930458,0.0057544000446796,0.0820299312472343,0.0078967278823256,0.0226563792675733,0.44573322,JP Plays,Minecraft,NÃO ABRA ESSE BAÚ NO MINECRAFT  perigoso [71tZs8QQBxQ],,T,T,T,"🎬 Canal: JP Plays | 🎥 Vídeo: NÃO ABRA ESSE BAÚ NO MINECRAFT  perigoso [71tZs8QQBxQ]
⏱️ Segmento/Index: 1
──────────────────────────────────────────────────
Fala transcrita:
""Moça, esse baú não é normal não, ele tem dentes afiados e tá tentando me devorar É um baú mutante, eu nunca vi algo parecido tal, vim se queim pro DAAAAM, McFly Gente, já tá bem, o que você tá fazendo na minha casa? Eu vim pegar os seus minérios emprestados, só que aí quando eu fui abrir o baú ele me atacou e tentou me engolir Aí então funcionou isso! Como assim funcionou? O que você tá travando? Eu sabia que algum dia algum ladrão poderia vir aqui e roubar as coisas do meu baú, só que eles não sabem que eu criei esse baú mutante Você criou um baú mutante com dentes afiados e perigoso, né? Você gostou? Eu odiei ele, eu odiei ele, olha só, cadê você? O baúzinho, cadê você? Tá escondido né? Olha aqui, olha aqui, ele tá comendo a parede da sua casa, não queria falar nada não, agora ele tá tentando morder eu Deixa eu comer uma maçã que eu tô com fome, eu sei, ele é agressivo até comigo De vez em quando Ele não te respeita?""",Avaliador_A,Avaliador_E
3,"Pra saber se ela impostou ou não, velho? Uhum. Cara, que legal, eu acho que aqui nessa nave tá sem nenhum impostor, pô, aqui, ó. Todo mundo que tá aqui dentro tá de algo... Uai, o Azul quer voltar lá, mano. Ele quer voltar. O Azul já tá querendo tasks, já. Quero café! Meu Deus! Encontrei um impostor! Olha! Nossa! Mano, o que que é isso? Caraca, eu contou... Tá a ruim da boca. Será que ele tá agressivo com os outros, velho? Não sei, não. Ele tem que trazer... Ó, ó o verdinho aqui tentando namorar a rosinha, vai pra lá. Mano, o verdinho não vai pra aí, não, velho. Eu acho que o roxo... Olha isso, velho, o roxo tá muito bravo, velho. Ô, marrom colou, marrom colou! Mas ele tá meio lentinho, né? Será que ele tá bugado? Você tá meio... Gente, mano... Tá tipo, quero água! Deixa eu ver o que que tá rolando pra cá também, vamos ver se alguém já começou a morrer aqui dentro do... Aqui você sabe o que que é, né? É o reator, não é, velho? Não, é aquela parte que você... Dos laser, né? Atira os laser pra quebrar as pedras.",0.7165278792381287,0.2537193894386291,0.0297527741640806,NEG,0.2553358078002929,0.0010726960608735,0.0261623244732618,0.0010296292603015,0.0742831975221633,0.004864789545536,0.0049155461601912,0.36095104,AuthenticGames,Minecraft,Minecraft PE - AMONG US NO MINECRAFT  CELULAR [1yf3_RIlns0],,GZ,GZ,GZ,"🎬 Canal: AuthenticGames | 🎥 Vídeo: Minecraft PE - AMONG US NO MINECRAFT  CELULAR [1yf3_RIlns0]
⏱️ Segmento/Index: 3
──────────────────────────────────────────────────
Fala transcrita:
""Pra saber se ela impostou ou não, velho? Uhum. Cara, que legal, eu acho que aqui nessa nave tá sem nenhum impostor, pô, aqui, ó. Todo mundo que tá aqui dentro tá de algo... Uai, o Azul quer voltar lá, mano. Ele quer voltar. O Azul já tá querendo tasks, já. Quero café! Meu Deus! Encontrei um impostor! Olha! Nossa! Mano, o que que é isso? Caraca, eu contou... Tá a ruim da boca. Será que ele tá agressivo com os outros, velho? Não sei, não. Ele tem que trazer... Ó, ó o verdinho aqui tentando namorar a rosinha, vai pra lá. Mano, o verdinho não vai pra aí, não, velho. Eu acho que o roxo... Olha isso, velho, o roxo tá muito bravo, velho. Ô, marrom colou, marrom colou! Mas ele tá meio lentinho, né? Será que ele tá bugado? Você tá meio... Gente, mano... Tá tipo, quero água! Deixa eu ver o que que tá rolando pra cá também, vamos ver se alguém já começou a morrer aqui dentro do... Aqui você sabe o que que é, né? É o reator, não é, velho? Não, é aquela parte que você... Dos laser, né? Atira os laser pra quebrar as pedras.""",Avaliador_A,Avaliador_E
5,"Não basta matar metade do mapa, ainda tem que matar o meu squad Obrigada, Ana Lu Ana Lu, cercando ela ainda para pra fazer um coração, é brincadeira? Hahahaha Infelizmente cercaram a Tene, aí eu falei pra ela fazer Minha estratégia que é deitar e dar capa Confia na cauda Scarlett Sempre dá certo Ou não, né? Eu não sei como esse squad conseguiu ficar full até o final da partida Eu só sei que era eles contra a Ana Lu Eles encontraram ela, só que eles rusharam os quatro de vez Então não teve muito o que fazer, né, Ana Lu? Mas ainda assim ela conseguiu dar alguns esquivas, jogou umas granadas Ela caiu, mas caiu que nem uma guerreira Uma guerreira saiadinha Olha o capa A Ana Lu matou a Ana Lu Boiá, baby, escondirei-te pra fazer emot ainda, né?",0.5423912405967712,0.3164886236190796,0.1411201059818267,NEG,0.2066658437252044,0.0080966437235474,0.0425588823854923,0.0046487380750477,0.0319737717509269,0.0225513633340597,0.0046410509385168,0.32971194,Amy Scarlet,Roblox,Salinha com Influencers e Seguidores [LudXFCWvr2s],,GZ,GZ,GZ,"🎬 Canal: Amy Scarlet | 🎥 Vídeo: Salinha com Influencers e Seguidores [LudXFCWvr2s]
⏱️ Segmento/Index: 5
──────────────────────────────────────────────────
Fala transcrita:
""Não basta matar metade do mapa, ainda tem que matar o meu squad Obrigada, Ana Lu Ana Lu, cercando ela ainda para pra fazer um coração, é brincadeira? Hahahaha Infelizmente cercaram a Tene, aí eu falei pra ela fazer Minha estratégia que é deitar e dar capa Confia na cauda Scarlett Sempre dá certo Ou não, né? Eu não sei como esse squad conseguiu ficar full até o final da partida Eu só sei que era eles contra a Ana Lu Eles encontraram ela, só que eles rusharam os quatro de vez Então não teve muito o que fazer, né, Ana Lu? Mas ainda assim ela conseguiu dar alguns esquivas, jogou umas granadas Ela caiu, mas caiu que nem uma guerreira Uma guerreira saiadinha Olha o capa A Ana Lu matou a Ana Lu Boiá, baby, escondirei-te pra fazer emot ainda, né?""",Avaliador_A,Avaliador_E
9,"Ai, sai, sai! Vai embora daqui, a gente tem que fugir! É tudo verdade! Você sabe uma história? Ai, socorro! Gente, eu queria maluco, hein? O garoto se apaixonou por mim, depois ele quis ser meu amigo e a gente viu o fantasma e agora eu tô fodendo! Tchau! Não, não vai embora sem mim!",0.3050538897514343,0.480917751789093,0.2140284031629562,NEU,0.8735700249671936,0.0062925075180828,0.1524981409311294,0.0035456726327538,0.0399978756904602,0.002601719694212,0.0288300532847642,0.5532103,Papile,Roblox,MENINO SE APAIXONOU POR MIM EU GOSTO DELE  - História Roblox [mUC2_tvWXcM],,T,T,T,"🎬 Canal: Papile | 🎥 Vídeo: MENINO SE APAIXONOU POR MIM EU GOSTO DELE  - História Roblox [mUC2_tvWXcM]
⏱️ Segmento/Index: 9
──────────────────────────────────────────────────
Fala transcrita:
""Ai, sai, sai! Vai embora daqui, a gente tem que fugir! É tudo verdade! Você sabe uma história? Ai, socorro! Gente, eu queria maluco, hein? O garoto se apaixonou por mim, depois ele quis ser meu amigo e a gente viu o fantasma e agora eu tô fodendo! Tchau! Não, não vai embora sem mim!""",Avaliador_A,Avaliador_E
3,"Uhum Caraca, que da hora, mano Tu nem chegaria perto de mim por causa do medo, cara Ah, não chego, nada, tá doido? Enquanto você tá como um crocodilo eu chego nem perto de você Tem que quebrar aqui, os negócios, mano, ele é muito grande Pra cair, pra pegar os itens é bem difícil O crocodilo, o crocodilo, o crocodilo, o crocodilo, o crocodilo Ih, meu Deus do céu, o crocodilo O crocodilo É o portão, bom, já fiz a minha picaretinha aqui Agora eu vou fazer uma pazinha porque eu vou precisar de pegar algumas coisas aqui, né? E por enquanto eu acho que eu estou seguro, o K.R. não vai se atrever a chegar perto de mim Eu por enquanto não, ainda não, mas daqui a pouco eu com certeza vou, mano Mas eu vou ficar perto pra não me deixar você ir pro Nether também, né? Eu posso te atrapalhar É verdade, eu posso ir agora, mano Eu posso te atrapalhar Ah, mano, eu vou virar outro bicho agora Ai, que beleza, velho Não acredito Beleza, eu acho que eu virei um sapo, velho Ah, bom, aí já é um ótimo momento pra te caçar porque sapo eu acho que não tem poder, né? Ele tem um poderzinho aqui Até sapo tem poder, qual o poder do sapo?",0.6565359830856323,0.281676322221756,0.0617876872420311,NEG,0.7250718474388123,0.0126855792477726,0.0590401254594326,0.0066731367260217,0.0526658967137336,0.0075487876310944,0.0390146486461162,0.36095104,Kass e KR,Minecraft,TROLEI meu AMIGO virando MOB customizado no Caçador vs. Speedrunner [53d1LB42kuI],,GZ,GZ,GZ,"🎬 Canal: Kass e KR | 🎥 Vídeo: TROLEI meu AMIGO virando MOB customizado no Caçador vs. Speedrunner [53d1LB42kuI]
⏱️ Segmento/Index: 3
──────────────────────────────────────────────────
Fala transcrita:
""Uhum Caraca, que da hora, mano Tu nem chegaria perto de mim por causa do medo, cara Ah, não chego, nada, tá doido? Enquanto você tá como um crocodilo eu chego nem perto de você Tem que quebrar aqui, os negócios, mano, ele é muito grande Pra cair, pra pegar os itens é bem difícil O crocodilo, o crocodilo, o crocodilo, o crocodilo, o crocodilo Ih, meu Deus do céu, o crocodilo O crocodilo É o portão, bom, já fiz a minha picaretinha aqui Agora eu vou fazer uma pazinha porque eu vou precisar de pegar algumas coisas aqui, né? E por enquanto eu acho que eu estou seguro, o K.R. não vai se atrever a chegar perto de mim Eu por enquanto não, ainda não, mas daqui a pouco eu com certeza vou, mano Mas eu vou ficar perto pra não me deixar você ir pro Nether também, né? Eu posso te atrapalhar É verdade, eu posso ir agora, mano Eu posso te atrapalhar Ah, mano, eu vou virar outro bicho agora Ai, que beleza, velho Não acredito Beleza, eu acho que eu virei um sapo, velho Ah, bom, aí já é um ótimo momento pra te caçar porque sapo eu acho que não tem poder, né? Ele tem um poderzinho aqui Até sapo tem poder, qual o poder do sapo?""",Avaliador_A,Avaliador_E
11,"Meu Deus do céu. Meu Deus do céu. Porra, Zin. Aí, levanta. Tá muito preguiçosa, porquinha, cabrinha. Ah, o cara não vem aqui para eu dar o ataque final nele. Ele tá roubando. Isso, voltou, pessoal. Agora vai ser o grande momento. Acho que dá para terminar. Dá para terminar a luta. Não. Vai, vai, vai. Isso. Ele tá com um pouquinho de vida. Ah, não morreu. Ele ficou com um de vida. Um de vida só. Na próxima eu consigo. Ele tá repetindo o ataque dele, ó. Ô, fazendeiro, vem aqui para o meio para nós conversar, meu querido. Vai ser o último ataque em você. Aí você vai poder descansar, tá bom? Aí, ó. Toma. Ah, que mentira. Ele foi embora. Ele foi embora. Peraí. Ele falou, espera aí, me dá um segundo. O quê? Ele me deu uma bola de futebol. Ele falou assim, você só pode esperar porque vai vir próximo. Eu acho que ele não tinha nada preparado, né, para ser tipo a continuação da batalha ou algo assim. Ele falou assim, fica com você aí por enquanto. Estou de volta, ele falou.",0.9055001735687256,0.0659184828400611,0.0285813435912132,NEG,0.9653468132019044,0.0115734348073601,0.799731969833374,0.0015775655629113,0.5020158290863037,0.0103163737803697,0.0257557015866041,0.5566829,Tex HS,Roblox,PORCO enfrenta o FINAL BOSS Goat Simulator 3  Parte 14 [ai8DSxVOOQc],,T,T,T,"🎬 Canal: Tex HS | 🎥 Vídeo: PORCO enfrenta o FINAL BOSS Goat Simulator 3  Parte 14 [ai8DSxVOOQc]
⏱️ Segmento/Index: 11
──────────────────────────────────────────────────
Fala transcrita:
""Meu Deus do céu. Meu Deus do céu. Porra, Zin. Aí, levanta. Tá muito preguiçosa, porquinha, cabrinha. Ah, o cara não vem aqui para eu dar o ataque final nele. Ele tá roubando. Isso, voltou, pessoal. Agora vai ser o grande momento. Acho que dá para terminar. Dá para terminar a luta. Não. Vai, vai, vai. Isso. Ele tá com um pouquinho de vida. Ah, não morreu. Ele ficou com um de vida. Um de vida só. Na próxima eu consigo. Ele tá repetindo o ataque dele, ó. Ô, fazendeiro, vem aqui para o meio para nós conversar, meu querido. Vai ser o último ataque em você. Aí você vai poder descansar, tá bom? Aí, ó. Toma. Ah, que mentira. Ele foi embora. Ele foi embora. Peraí. Ele falou, espera aí, me dá um segundo. O quê? Ele me deu uma bola de futebol. Ele falou assim, você só pode esperar porque vai vir próximo. Eu acho que ele não tinha nada preparado, né, para ser tipo a continuação da batalha ou algo assim. Ele falou assim, fica com você aí por enquanto. Estou de volta, ele falou.""",Avaliador_A,Avaliador_E
15,"000 anos depois Depois de tudo que eu fiz por você Pare com isso chefinho Agora já tudo acabou, estamos saindo do circo E você pode parar com isso Agora mesmo Tchau querido Ah não, estamos saindo do circo E você não pode nos parar dessa vez né É isso E o que aconteceu com o Pat e o chefe? Quem é esse outro palhaço aqui? O show precisa continuar O que é esse palhaço? Era o chefe cara Eles transformaram ele em um palhaço Vocês viram?",0.9740167260169984,0.0141706150025129,0.0118126813322305,NEG,0.5225945711135864,0.002736002439633,0.0400618277490139,0.0038791552651673,0.1409326791763305,0.0029995162039995,0.0035387419629842,0.39842087,Tex HS,Roblox,A TRISTE HISTÓRIA DO PALHAÇO PATCHY Roblox Patchy Origin [VyAi-rZWzEE],,GZ,GZ,GZ,"🎬 Canal: Tex HS | 🎥 Vídeo: A TRISTE HISTÓRIA DO PALHAÇO PATCHY Roblox Patchy Origin [VyAi-rZWzEE]
⏱️ Segmento/Index: 15
──────────────────────────────────────────────────
Fala transcrita:
""000 anos depois Depois de tudo que eu fiz por você Pare com isso chefinho Agora já tudo acabou, estamos saindo do circo E você pode parar com isso Agora mesmo Tchau querido Ah não, estamos saindo do circo E você não pode nos parar dessa vez né É isso E o que aconteceu com o Pat e o chefe? Quem é esse outro palhaço aqui? O show precisa continuar O que é esse palhaço? Era o chefe cara Eles transformaram ele em um palhaço Vocês viram?""",Avaliador_A,Avaliador_E
