index,tiras,negatividade,neutralidade,positividade,sentimento_dominante,toxicity,severe_toxicity,obscene,identity_attack,insult,threat,sexual_explicit,p_toxicity,Creator Name,Game Environment,Video Name,toxicidade,class_detoxify,class_perspective,classificacao_ia,texto_exibicao,Anotador_1,Anotador_2
1,"Eduarda, inclusive, eu tenho uma missão pra você, Eduarda! O quê? Calma aí, deixa eu fazer uma espada aqui. Calma aí. Pronto, fiz uma espada de pedra aqui pra você, e eu duvido você matar o Aeron Golem, Eduarda, porque ele dá experiência, garota! Dá, dá, dá. Isso aí é fácil, deixa eu vir aqui. Acho que pra você... Vai lá, Eduarda. E aí, Fih, vem cá! Chega aí, mano! Chega aí! Bom, Eduarda! Eu nem conheço ela, Aeron Golem, sei nem quem é, falar a verdade. Eduarda, nunca vi na minha vida. É assim que se mata Aeron Golem, Eduarda! Ó, Fih, ele nunca vai me destruir, ó! Me dá teu fome! Vai, Marcelo! Vai, Marcelo! Já faz cinco anos que eu tô... Opa! Não ganhei nenhuma experiência, que legal. Tive uma ideia, Eduarda, eu tenho uma picareta de ferro aqui, e aqui tem, ó, carvão, Fih, carvão da experiência. Opa! Duas, três... Eu quero ver como que eu vou ficar assustador. Deixa eu pegar. Ferro é bom demais! Ó, uma experiência! O que será que deve ter mudado, Eduarda? Ai! O que foi, garota? Que susto, Marcelo! Você tá de azul babão! Eu sou azul babão... Eu sou azul babão! Eu amo azul babão, eu sou azul babão.",0.0720192119479179,0.7845116257667542,0.1434691697359085,NEU,0.5713868737220764,0.0074618123471736,0.0491663180291652,0.0032272296957671,0.0313986539840698,0.0269356537610292,0.0116489641368389,0.3127066,Marcelodrv,Minecraft,A Cada XP eu fico mais ASSUSTADOR [05E8b9zbHQU],,GZ,GZ,GZ,"🎬 Canal: Marcelodrv | 🎥 Vídeo: A Cada XP eu fico mais ASSUSTADOR [05E8b9zbHQU]
⏱️ Segmento/Index: 1
🤖 Consenso de IA: GZ (Detoxify: 0.571 | Perspective: 0.313)
──────────────────────────────────────────────────
Fala transcrita:
""Eduarda, inclusive, eu tenho uma missão pra você, Eduarda! O quê? Calma aí, deixa eu fazer uma espada aqui. Calma aí. Pronto, fiz uma espada de pedra aqui pra você, e eu duvido você matar o Aeron Golem, Eduarda, porque ele dá experiência, garota! Dá, dá, dá. Isso aí é fácil, deixa eu vir aqui. Acho que pra você... Vai lá, Eduarda. E aí, Fih, vem cá! Chega aí, mano! Chega aí! Bom, Eduarda! Eu nem conheço ela, Aeron Golem, sei nem quem é, falar a verdade. Eduarda, nunca vi na minha vida. É assim que se mata Aeron Golem, Eduarda! Ó, Fih, ele nunca vai me destruir, ó! Me dá teu fome! Vai, Marcelo! Vai, Marcelo! Já faz cinco anos que eu tô... Opa! Não ganhei nenhuma experiência, que legal. Tive uma ideia, Eduarda, eu tenho uma picareta de ferro aqui, e aqui tem, ó, carvão, Fih, carvão da experiência. Opa! Duas, três... Eu quero ver como que eu vou ficar assustador. Deixa eu pegar. Ferro é bom demais! Ó, uma experiência! O que será que deve ter mudado, Eduarda? Ai! O que foi, garota? Que susto, Marcelo! Você tá de azul babão! Eu sou azul babão... Eu sou azul babão! Eu amo azul babão, eu sou azul babão.""",Avaliador_A,Avaliador_C
1,"O tempo tá passando Aí eu terminei de quebrar tudo Agora eu venho aqui em cima e coloco essa lava totalmente diferente Que dá muito mais dano Já que essa daqui é a lava de zinco Tá, mas agora você deve estar pensando como que eu vou fazer pra passar pra minha casa E vai ser de um jeito muito Nubi Porque aqui desse lado vai ter essa escada E no final dessa escada vai ter uma ponte que vai levar direto pra casa Ah, mas agora faltam 20 segundos, deixa eu correr Porque eu vou pegar e colocar teia aqui em tudo E pra me ajudar eu vou bater esse machadinho aqui Agora eu venho aqui do outro lado da minha casa e clico aqui de novo Agora é só dar esse comando e pronto! Tem um monte de teia aqui Ah, mas eu esqueci desse lugar, deixa eu colocar rápido Ah, mas o tempo tá acabando Acabou o tempo, eu não posso construir mais nada E esse foi só o nível Nubi Mas eu ainda vou fazer o nível Pro e até o nível Hacker Será que o Naru vai conseguir passar e ganhar uns mil reais?",0.1109848320484161,0.4457480907440185,0.4432671368122101,NEU,0.0122153228148818,0.0063160494901239,0.044533010572195,0.0068530435673892,0.0393786281347274,0.0034943793434649,0.0013751212973147,0.18554166,Cadres,Minecraft,CASA SEGURA de NOOB vs PRO vs HACKER no Minecraft [UW_4Oo2MH2s],,NT,NT,NT,"🎬 Canal: Cadres | 🎥 Vídeo: CASA SEGURA de NOOB vs PRO vs HACKER no Minecraft [UW_4Oo2MH2s]
⏱️ Segmento/Index: 1
🤖 Consenso de IA: NT (Detoxify: 0.012 | Perspective: 0.186)
──────────────────────────────────────────────────
Fala transcrita:
""O tempo tá passando Aí eu terminei de quebrar tudo Agora eu venho aqui em cima e coloco essa lava totalmente diferente Que dá muito mais dano Já que essa daqui é a lava de zinco Tá, mas agora você deve estar pensando como que eu vou fazer pra passar pra minha casa E vai ser de um jeito muito Nubi Porque aqui desse lado vai ter essa escada E no final dessa escada vai ter uma ponte que vai levar direto pra casa Ah, mas agora faltam 20 segundos, deixa eu correr Porque eu vou pegar e colocar teia aqui em tudo E pra me ajudar eu vou bater esse machadinho aqui Agora eu venho aqui do outro lado da minha casa e clico aqui de novo Agora é só dar esse comando e pronto! Tem um monte de teia aqui Ah, mas eu esqueci desse lugar, deixa eu colocar rápido Ah, mas o tempo tá acabando Acabou o tempo, eu não posso construir mais nada E esse foi só o nível Nubi Mas eu ainda vou fazer o nível Pro e até o nível Hacker Será que o Naru vai conseguir passar e ganhar uns mil reais?""",Avaliador_A,Avaliador_C
5,"A qual é esse aqui? Ae, a minha chance, coloca creeper! Um creeper! Eu explodi ele! Explodi de novo esse berço que ele reconstruiu! Nossa, agora sim que ele vai ficar morrendo de raiva de mim! Quer saber, eu ainda não vou virar Cadres! Porque eu tenho mais uma ideia pra trollar ele fingindo ser a namorada! Ele vai ficar louco de raiva! Ai, porque os creepers explodiram em minha casa e onde eles vieram? Eu perdi até minha roupa na explosão! O que aconteceu com o Naru? Ele ficou sem rola! Ai, namorada, explodiu de ver o creeper! Não olha pra minha casa, eu tinha acabado de reconstruir! Ah, pra você, não foi? Ele tá perguntando se foi eu? Eu vou falar que foi o Cadres! E se foi o Naru? Eu vou falar que foi o Cadres! E se for ver bem, eu nem tô mentindo! Não foi eu, foi o Cadres! Como que foi o Cadres? O Cadres nem aqui tava, foi você! Ah, quer saber, tchuma, vai embora! Ele tá me mandando ir embora! Que menino chato!",0.8795939087867737,0.0944182500243187,0.0259878914803266,NEG,0.8750303387641907,0.0043709543533623,0.0637068599462509,0.004740344826132,0.0818829461932182,0.0795848071575164,0.0084706526249647,0.4013387,Cadres,Minecraft,15 Jeitos de Irritar um Bebê no Minecraft [nHiiyigE5rA],,T,T,T,"🎬 Canal: Cadres | 🎥 Vídeo: 15 Jeitos de Irritar um Bebê no Minecraft [nHiiyigE5rA]
⏱️ Segmento/Index: 5
🤖 Consenso de IA: T (Detoxify: 0.875 | Perspective: 0.401)
──────────────────────────────────────────────────
Fala transcrita:
""A qual é esse aqui? Ae, a minha chance, coloca creeper! Um creeper! Eu explodi ele! Explodi de novo esse berço que ele reconstruiu! Nossa, agora sim que ele vai ficar morrendo de raiva de mim! Quer saber, eu ainda não vou virar Cadres! Porque eu tenho mais uma ideia pra trollar ele fingindo ser a namorada! Ele vai ficar louco de raiva! Ai, porque os creepers explodiram em minha casa e onde eles vieram? Eu perdi até minha roupa na explosão! O que aconteceu com o Naru? Ele ficou sem rola! Ai, namorada, explodiu de ver o creeper! Não olha pra minha casa, eu tinha acabado de reconstruir! Ah, pra você, não foi? Ele tá perguntando se foi eu? Eu vou falar que foi o Cadres! E se foi o Naru? Eu vou falar que foi o Cadres! E se for ver bem, eu nem tô mentindo! Não foi eu, foi o Cadres! Como que foi o Cadres? O Cadres nem aqui tava, foi você! Ah, quer saber, tchuma, vai embora! Ele tá me mandando ir embora! Que menino chato!""",Avaliador_A,Avaliador_C
40,jogo tá chega de ladybug chega de bicho feio aqui será que a ladybug faz o poder dele gente esse jogo é doido você pode fazer o poder de outro personagem com por exemplo estou de ladybug mas posso fazer o poder que eu quiser então eu podia voar esse tempo inteiro também ai eu sou boba mas a minha primeira vez no mapa né como que eu ia saber 1700 likes na live então ótimo perfeito então vamos lá agora a gente vai se transformar de novo vamos tirar essa asa e a gente vai virar a chloe primeiro vamos virar chloe super chata metida né ela é chata não é do mal essa aqui é do mal ou ela ou é só a marinete que não gosta dela por causa do menino alguém me informa se ela é do mal,0.1923121064901352,0.2707633972167969,0.5369245409965515,POS,0.9599687457084656,0.0156560260802507,0.0662801712751388,0.012082165107131,0.0688120946288108,0.0044784392230212,0.0606644190847873,0.47622904,Papile,Roblox,VIVENDO COMO LADYBUG NO ROBLOX  Miraculous Ladybug Roleplay [eRXfd-9imtQ],,T,T,T,"🎬 Canal: Papile | 🎥 Vídeo: VIVENDO COMO LADYBUG NO ROBLOX  Miraculous Ladybug Roleplay [eRXfd-9imtQ]
⏱️ Segmento/Index: 40
🤖 Consenso de IA: T (Detoxify: 0.96 | Perspective: 0.476)
──────────────────────────────────────────────────
Fala transcrita:
""jogo tá chega de ladybug chega de bicho feio aqui será que a ladybug faz o poder dele gente esse jogo é doido você pode fazer o poder de outro personagem com por exemplo estou de ladybug mas posso fazer o poder que eu quiser então eu podia voar esse tempo inteiro também ai eu sou boba mas a minha primeira vez no mapa né como que eu ia saber 1700 likes na live então ótimo perfeito então vamos lá agora a gente vai se transformar de novo vamos tirar essa asa e a gente vai virar a chloe primeiro vamos virar chloe super chata metida né ela é chata não é do mal essa aqui é do mal ou ela ou é só a marinete que não gosta dela por causa do menino alguém me informa se ela é do mal""",Avaliador_A,Avaliador_C
7,"Eu tava tentando fazer um helicóptero aqui, mas não deu tempo Nossa, mas isso aqui não é um helicóptero, isso parece um barco Para de falar assim, do meu helicóptero ele tá muito bonito Muito bonito Olha o que que eu faço com o seu helicóptero, quebrei todo ele, subiu Inveja, que inveja?",0.5603774785995483,0.1313306242227554,0.3082919120788574,NEG,0.160978227853775,0.0060345381498336,0.0434558354318141,0.0041629853658378,0.031895026564598,0.0168488547205925,0.0033087723422795,0.06500591,Cadres,Minecraft,Trolei meu AMIGO com HEROI PRONTO na BATALHA DE CONSTRUÇÃO do MINECRAFT [H4kuFznwZpc],,NT,NT,NT,"🎬 Canal: Cadres | 🎥 Vídeo: Trolei meu AMIGO com HEROI PRONTO na BATALHA DE CONSTRUÇÃO do MINECRAFT [H4kuFznwZpc]
⏱️ Segmento/Index: 7
🤖 Consenso de IA: NT (Detoxify: 0.161 | Perspective: 0.065)
──────────────────────────────────────────────────
Fala transcrita:
""Eu tava tentando fazer um helicóptero aqui, mas não deu tempo Nossa, mas isso aqui não é um helicóptero, isso parece um barco Para de falar assim, do meu helicóptero ele tá muito bonito Muito bonito Olha o que que eu faço com o seu helicóptero, quebrei todo ele, subiu Inveja, que inveja?""",Avaliador_A,Avaliador_C
8,"Tá suave essas armas, mano. Cara, olha o Bruno! Oi, mano! Sabe o que eu tô fazendo aqui em casa também? A roupa que eu tô usando, perfume, cara. O cara tá com o olho no peixe, o outro no gato ali, lindão. E fala o que eu tenho que fazer aqui mais, ó. Eu tenho que andar pra direita ou pra esquerda. A gente vai pra esquerda. Eu tô indo, tô indo. Bota pra correr, faz a movimentação própria, ó. Aqui? Já pulou aí? Atirou, correu, voltou, deu meia volta, voltou pra cá, sem sentido nenhum, voltou, voltou nada na mão, tirou, tentou, sem sentido nenhum, correu, acelerou, andando. Matou no alto, matou o fomo lá no alto, aqui, fingiu que ia pra ver se ia o correndo, pegou e repetiu. Que viagem é essa, velho? Ali, ó, tem um cara na esquerda, tem um cara na esquerda, família, hein? Amo vocês, mas tem um cara na esquerda, hein, mano? Ali tem um cara atrás do muro ali. Aí, ó, vou matar, vou matar meu primeiro cara, velho. Ô, ô, mano, eu tô um absurdo, galera. Já pode aposentar, ô, Bru, que eu já tô um absurdo. Ó, Lindão, ó, olha aí na live, ó, ó, ó, ó.",0.054610252380371,0.3198720812797546,0.6255176067352295,POS,0.5216365456581116,0.0020889621227979,0.0166462641209363,0.0031322797294706,0.0602362975478172,0.0753696113824844,0.0060113095678389,0.3367073,AuthenticGames,Minecraft,AUTHENTICGAMES JOGANDO FREE FIRE COM O NOBRU [Hw9i4H8krwc],,GZ,GZ,GZ,"🎬 Canal: AuthenticGames | 🎥 Vídeo: AUTHENTICGAMES JOGANDO FREE FIRE COM O NOBRU [Hw9i4H8krwc]
⏱️ Segmento/Index: 8
🤖 Consenso de IA: GZ (Detoxify: 0.522 | Perspective: 0.337)
──────────────────────────────────────────────────
Fala transcrita:
""Tá suave essas armas, mano. Cara, olha o Bruno! Oi, mano! Sabe o que eu tô fazendo aqui em casa também? A roupa que eu tô usando, perfume, cara. O cara tá com o olho no peixe, o outro no gato ali, lindão. E fala o que eu tenho que fazer aqui mais, ó. Eu tenho que andar pra direita ou pra esquerda. A gente vai pra esquerda. Eu tô indo, tô indo. Bota pra correr, faz a movimentação própria, ó. Aqui? Já pulou aí? Atirou, correu, voltou, deu meia volta, voltou pra cá, sem sentido nenhum, voltou, voltou nada na mão, tirou, tentou, sem sentido nenhum, correu, acelerou, andando. Matou no alto, matou o fomo lá no alto, aqui, fingiu que ia pra ver se ia o correndo, pegou e repetiu. Que viagem é essa, velho? Ali, ó, tem um cara na esquerda, tem um cara na esquerda, família, hein? Amo vocês, mas tem um cara na esquerda, hein, mano? Ali tem um cara atrás do muro ali. Aí, ó, vou matar, vou matar meu primeiro cara, velho. Ô, ô, mano, eu tô um absurdo, galera. Já pode aposentar, ô, Bru, que eu já tô um absurdo. Ó, Lindão, ó, olha aí na live, ó, ó, ó, ó.""",Avaliador_A,Avaliador_C
6,"Aí snow Meu Deus Olha que cachorro lindo Que lindo cara, que cachorro lindo Tomei tempo de pegar uma moto ali que um parceiro nosso Te instacionou na hora da gravação Ali vimos os equipamentos também da gravação Não, ninguém viu nada Tô pra mostrar detalhes aqui, ó, tem uns trabalhadores vindo ali no trem Bastão pro lado Ó, quando bate, quando bate E o guardinha chega mais fácil, ó É isso, acompanhou, agora ó, corrida e insana É a mais bonita do vídeo, papo reto Corrida e insana, ó, Rávei Maria Snow, venha cá pra me limpegar Seu saco de osso A motinha ali atrás Batei logo com a cabeça E agora, Zé Paul vindo E o ponto contando, viu? O ponto contando ali Foi puxindo em drog, Zé Paul vindo puxando em drog Acordou Era tudo sonho, trocou Poxe, tu lá deitada aí do nada, quem foi sair? O guarda, mano, tu viu? Guardo o espistouelo Que guarda, Zé Paul vindo O guarda, mano Tá sonhando, né, bora Ó, ó Não, pô, eu tava Eu tava andando ali, tá ligado? Aí eu vi um portal aqui dentro Mas aí eu fui mandar... Nunca teve portal Aquele joguinho da Zé Paul, tá ligado? Aí eu já comecei ali com uns sprays Com uns sprays na mão Vai mentir em outro grupo, porque aqui todo mundo conhece a tua história Para, para, para, para Porque, mas é certo, mano Tá ficando doido, tá ficando doido Fica aí no pensamento, tá ficando doido, era de verdade Ele correu no correu Você acha que ele tava ficando doido?",0.0146238096058368,0.0854314491152763,0.8999447226524353,POS,0.2822175323963165,0.0082791550084948,0.047181662172079,0.0045086066238582,0.0450494475662708,0.003380563808605,0.0082665886729955,0.26104406,meu nome é david,Roblox,10 DETALHES que você PERDEU em SUBWAY SURFERS NA VIDA REAL [-P2WLwHCLBM],,GZ,GZ,GZ,"🎬 Canal: meu nome é david | 🎥 Vídeo: 10 DETALHES que você PERDEU em SUBWAY SURFERS NA VIDA REAL [-P2WLwHCLBM]
⏱️ Segmento/Index: 6
🤖 Consenso de IA: GZ (Detoxify: 0.282 | Perspective: 0.261)
──────────────────────────────────────────────────
Fala transcrita:
""Aí snow Meu Deus Olha que cachorro lindo Que lindo cara, que cachorro lindo Tomei tempo de pegar uma moto ali que um parceiro nosso Te instacionou na hora da gravação Ali vimos os equipamentos também da gravação Não, ninguém viu nada Tô pra mostrar detalhes aqui, ó, tem uns trabalhadores vindo ali no trem Bastão pro lado Ó, quando bate, quando bate E o guardinha chega mais fácil, ó É isso, acompanhou, agora ó, corrida e insana É a mais bonita do vídeo, papo reto Corrida e insana, ó, Rávei Maria Snow, venha cá pra me limpegar Seu saco de osso A motinha ali atrás Batei logo com a cabeça E agora, Zé Paul vindo E o ponto contando, viu? O ponto contando ali Foi puxindo em drog, Zé Paul vindo puxando em drog Acordou Era tudo sonho, trocou Poxe, tu lá deitada aí do nada, quem foi sair? O guarda, mano, tu viu? Guardo o espistouelo Que guarda, Zé Paul vindo O guarda, mano Tá sonhando, né, bora Ó, ó Não, pô, eu tava Eu tava andando ali, tá ligado? Aí eu vi um portal aqui dentro Mas aí eu fui mandar... Nunca teve portal Aquele joguinho da Zé Paul, tá ligado? Aí eu já comecei ali com uns sprays Com uns sprays na mão Vai mentir em outro grupo, porque aqui todo mundo conhece a tua história Para, para, para, para Porque, mas é certo, mano Tá ficando doido, tá ficando doido Fica aí no pensamento, tá ficando doido, era de verdade Ele correu no correu Você acha que ele tava ficando doido?""",Avaliador_A,Avaliador_C
6,"Ô, da hora o quartão cheio de beliche ó Muitos brinquedos e tudo mais Eu vou escolher essa cama aqui pra mim, pode ser né Se vocês quiserem a gente pode se divertir aqui um pouquinho né Por mais tempo, daí a galera gostou da ideia ó Eu vou ficar com o meu sonubinho aqui, por que não? Acabou Então tá, vamos lá pra cima Eu vou ficar com o meu sonubinho aqui, por que não? Acabou Primeiro socorro, se alguém precisar Se alguém passar mal, é isso Certo Jerry? Com certeza Vou esperar pra ver o que vai acontecer próximo aí pessoal Aí ele falou assim, ok pessoal, eu tô ficando um pouco Cansado aí sobre vocês, daí o Daniel aqui Falou que ele também tá cansado ó Por acaso sua avó já chegou em casa?",0.1315868943929672,0.5805102586746216,0.28790283203125,NEU,0.0300460085272789,0.0022657015360891,0.0347414053976535,0.0031844794284552,0.0212871935218572,0.0010896178428083,0.0038545047864317,0.1641865,Tex HS,Roblox,A VOVÓ SONÂMBULA NÃO GOSTA DE MIM Roblox Grandma Visit Story [yxQXpP_eDrY],,NT,NT,NT,"🎬 Canal: Tex HS | 🎥 Vídeo: A VOVÓ SONÂMBULA NÃO GOSTA DE MIM Roblox Grandma Visit Story [yxQXpP_eDrY]
⏱️ Segmento/Index: 6
🤖 Consenso de IA: NT (Detoxify: 0.03 | Perspective: 0.164)
──────────────────────────────────────────────────
Fala transcrita:
""Ô, da hora o quartão cheio de beliche ó Muitos brinquedos e tudo mais Eu vou escolher essa cama aqui pra mim, pode ser né Se vocês quiserem a gente pode se divertir aqui um pouquinho né Por mais tempo, daí a galera gostou da ideia ó Eu vou ficar com o meu sonubinho aqui, por que não? Acabou Então tá, vamos lá pra cima Eu vou ficar com o meu sonubinho aqui, por que não? Acabou Primeiro socorro, se alguém precisar Se alguém passar mal, é isso Certo Jerry? Com certeza Vou esperar pra ver o que vai acontecer próximo aí pessoal Aí ele falou assim, ok pessoal, eu tô ficando um pouco Cansado aí sobre vocês, daí o Daniel aqui Falou que ele também tá cansado ó Por acaso sua avó já chegou em casa?""",Avaliador_A,Avaliador_C
3,"Meu Deus Tá, eu vou pegar essas duas aqui primeiro então e fazer uma carrinha de terra com pedra Mas a gente tem alguns blocos aqui como diamante, quartzo e obsidiana Eu vou começar a nossa casinha aqui com quartzo e com diamante Vou fazer uma casinha não muito grande galera, porque é só o início Galera, a base inicial da nossa casa tá ficando bem assim, eu só preciso fechar esse teto aqui E ver se eu vou fazer um tetozinho diferente ou se esse quadradinho aqui já está bom E depois de tudo fechado eu tenho esse portão aqui E eu vou colocar esse portão como se fosse a entrada da casa mano Então a gente só coloca aqui e olha só que coisa mais maluca E a gente pode abrir ele bem dessa forma mano E é um portão muito tecnológico, então isso aqui é muito muito pro velho E pra fechar é a mesma coisa galera, eu acho que é a mesma coisa né cadê?",0.074248693883419,0.6020427942276001,0.3237085044384002,NEU,0.0102829132229089,0.0042174980044364,0.0471943505108356,0.0031818046700209,0.025276431813836,0.0023794567678123,0.0022840024903416,0.13908891,Kass e KR,Minecraft,Batalha de construção de BASE SEGURA de NOOB vs PRO no minecraft [k0-ptJjUy3o],,NT,NT,NT,"🎬 Canal: Kass e KR | 🎥 Vídeo: Batalha de construção de BASE SEGURA de NOOB vs PRO no minecraft [k0-ptJjUy3o]
⏱️ Segmento/Index: 3
🤖 Consenso de IA: NT (Detoxify: 0.01 | Perspective: 0.139)
──────────────────────────────────────────────────
Fala transcrita:
""Meu Deus Tá, eu vou pegar essas duas aqui primeiro então e fazer uma carrinha de terra com pedra Mas a gente tem alguns blocos aqui como diamante, quartzo e obsidiana Eu vou começar a nossa casinha aqui com quartzo e com diamante Vou fazer uma casinha não muito grande galera, porque é só o início Galera, a base inicial da nossa casa tá ficando bem assim, eu só preciso fechar esse teto aqui E ver se eu vou fazer um tetozinho diferente ou se esse quadradinho aqui já está bom E depois de tudo fechado eu tenho esse portão aqui E eu vou colocar esse portão como se fosse a entrada da casa mano Então a gente só coloca aqui e olha só que coisa mais maluca E a gente pode abrir ele bem dessa forma mano E é um portão muito tecnológico, então isso aqui é muito muito pro velho E pra fechar é a mesma coisa galera, eu acho que é a mesma coisa né cadê?""",Avaliador_A,Avaliador_C
0,"Nesse vídeo o Minecraft vai ficar muito comprido. Olha como eu fiquei longo! Mobs vão ficar esticados, itens vão ficar compridos e até as estruturas vão ser totalmente esticadas. Até a crafting table vai ficar assim. Nela poderemos fazer a armadura de diamante mais longa do jogo ou até uma picareta muito comprida. Deixa o like e se inscreva antes que o golem esticado te ataque. Fala galera, aqui é o Atus e hoje... Cadris, Cadris, onde você está? Eu vou te amaldiçoar e vou amaldiçoar essa vila também. E ainda vou roubar a ovelha do villager. Como assim me amaldiçoar? O quê? Eu estou mais esticado? E vai amaldiçoar a vila também? Olha o tamanho da casa do villager. O que o Cadris fez? Mas o Cadris falou que ia amaldiçoar a vila também. O que será que ele fez com eles? Olha só o que ele fez com o aldeão. Ele deixou o aldeão comprido. Como o Cadris conseguiu esses poderes? Tem um golem na vila e parece que o golem está atacando os aldeões. Não, para de atacar esses aldeões. Sai, sai, você não vai matar os aldeões.",0.1397451609373092,0.7740139365196228,0.0862408801913261,NEU,0.8398914933204651,0.0081250043585896,0.0966083630919456,0.005515924654901,0.0397935397922992,0.0119672082364559,0.0163725633174181,0.4977744,Athos,Minecraft,Deixei o Minecraft Esticadoooooooooooooooooooooooooooooooooo [AOm7F7Oek0I],,T,T,T,"🎬 Canal: Athos | 🎥 Vídeo: Deixei o Minecraft Esticadoooooooooooooooooooooooooooooooooo [AOm7F7Oek0I]
⏱️ Segmento/Index: 0
🤖 Consenso de IA: T (Detoxify: 0.84 | Perspective: 0.498)
──────────────────────────────────────────────────
Fala transcrita:
""Nesse vídeo o Minecraft vai ficar muito comprido. Olha como eu fiquei longo! Mobs vão ficar esticados, itens vão ficar compridos e até as estruturas vão ser totalmente esticadas. Até a crafting table vai ficar assim. Nela poderemos fazer a armadura de diamante mais longa do jogo ou até uma picareta muito comprida. Deixa o like e se inscreva antes que o golem esticado te ataque. Fala galera, aqui é o Atus e hoje... Cadris, Cadris, onde você está? Eu vou te amaldiçoar e vou amaldiçoar essa vila também. E ainda vou roubar a ovelha do villager. Como assim me amaldiçoar? O quê? Eu estou mais esticado? E vai amaldiçoar a vila também? Olha o tamanho da casa do villager. O que o Cadris fez? Mas o Cadris falou que ia amaldiçoar a vila também. O que será que ele fez com eles? Olha só o que ele fez com o aldeão. Ele deixou o aldeão comprido. Como o Cadris conseguiu esses poderes? Tem um golem na vila e parece que o golem está atacando os aldeões. Não, para de atacar esses aldeões. Sai, sai, você não vai matar os aldeões.""",Avaliador_A,Avaliador_C
